"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04740","hsa04740","Olfactory transduction","177/1792","419/7240",4.32889474693349e-16,1.35061516104325e-13,1.35061516104325e-13,"79290/5592/79544/79317/390433/122748/81127/122740/441670/441669/390445/26533/390429/440153/26686/390442/341799/390437/122742/390436/26534/26687/390431/390439/57101/81392/390892/26333/26658/125958/126541/126370/26659/26664/26539/26538/162998/125963/6543/390882/284433/26648/2788/808/26532/390883/5566/125962/284383/409/8387/8388/8390/4991/3000/4994/8386/8392/8383/26189/4995/341152/5138/408/219981/390199/219986/390201/219983/390197/219982/1260/127066/127062/403239/391195/343169/26696/127059/81466/441933/127623/284521/254879/343173/81472/81470/391192/343171/391189/391191/26245/284532/127077/391196/26188/391194/127068/391190/343172/401993/127069/343563/81469/401994/401992/26246/127064/127074/391211/120066/119682/8590/283111/196335/119695/81285/120775/338755/119679/401667/390083/120065/390038/390036/255725/401666/79339/390084/119772/390079/341276/390061/120796/390077/390081/119692/79345/81282/256892/23538/120787/401665/144124/390078/390075/390093/390054/390066/282763/390064/26496/390037/1262/340980/79473/390072/119687/338751/387748/79324/143503/390058/119694/120776/283297/143502/119678/390059/120793/143496/144125/119774/390063/390067/390538/283694",177
"hsa00290","hsa00290","Valine, leucine and isoleucine biosynthesis","4/1792","4/7240",0.00374371404286496,0.379985354976466,0.379985354976466,"587/10993/113675/586",4
"hsa04130","hsa04130","SNARE interactions in vesicular transport","16/1792","34/7240",0.00383485266342026,0.379985354976466,0.379985354976466,"112755/6810/9554/6843/10282/55850/8677/6844/9482/9527/9570/6845/6809/2054/53407/51272",16
"hsa04260","hsa04260","Cardiac muscle contraction","30/1792","78/7240",0.0048716071150829,0.379985354976466,0.379985354976466,"1339/4624/4625/779/7139/10975/478/59284/7137/7386/7171/1340/59283/125965/1346/59285/4635/782/482/776/7384/7134/55799/9254/778/4633/488/1337/170712/6262",30
"hsa04371","hsa04371","Apelin signaling pathway","47/1792","137/7240",0.00724038857821999,0.451800247280927,0.451800247280927,"5565/196883/23710/2784/5054/2783/2792/2791/94235/3991/4207/6261/5605/10365/6237/100271849/6543/208/2788/808/5566/4854/56848/4635/4843/11337/23533/10014/8678/2793/146850/595/2773/2771/8877/4842/5564/4633/10891/10000/6262/441925/2786/22800/3265/5140/3845",47
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","30/1792","83/7240",0.0132196580480399,0.687422218498073,0.687422218498073,"5565/4624/4625/3678/779/7139/59284/7137/7040/7171/59283/59285/3675/782/3674/6442/3690/776/1605/7134/55799/9254/778/3691/71/5564/4633/488/2010/6262",30
"hsa04062","hsa04062","Chemokine signaling pathway","58/1792","182/7240",0.0169211547407436,0.754200039873141,0.754200039873141,"10451/6387/196883/2784/2783/2792/2791/94235/25759/208/5296/4793/2788/3718/5566/6370/2931/7409/409/9560/414062/6354/6358/6774/6351/388372/6347/1236/6356/6368/6362/6355/6349/6777/6360/6346/2826/6352/1398/6359/2793/6348/58191/6357/5058/408/2773/2771/387/5580/2885/5829/2868/8517/10000/2786/3265/3845",58
"hsa04380","hsa04380","Osteoclast differentiation","42/1792","128/7240",0.023591241162594,0.820404600772407,0.820404600772407,"2209/1513/7048/5599/10379/3552/3553/7132/799/23547/10288/11006/79168/3727/11027/7040/353514/7305/126014/54/10859/11025/208/7297/3726/5296/5609/11024/10990/5971/11026/2354/9020/3690/9846/1435/4286/2885/9021/7006/8517/10000",42
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","16/1792","40/7240",0.0236655173299733,0.820404600772407,0.820404600772407,"26227/2593/63826/8639/6470/51268/314/275/55349/132158/211/29958/635/10993/113675/1610",16
"hsa00531","hsa00531","Glycosaminoglycan degradation","9/1792","19/7240",0.0268456816034477,0.837585266027568,0.837585266027568,"4669/8372/8692/3373/6448/411/3074/3425/3423",9
"hsa04071","hsa04071","Sphingolipid signaling pathway","38/1792","118/7240",0.0399610286753129,0.932618639927969,0.932618639927969,"29956/1901/259230/5599/56624/134/7132/5582/9294/5605/10715/8698/208/5518/5296/53637/581/56848/79603/125981/5338/7157/9846/28227/2773/2771/387/8877/5881/8560/2206/4985/5522/10000/6609/3265/1509/3845",38
"hsa05414","hsa05414","Dilated cardiomyopathy","30/1792","90/7240",0.0409906793208119,0.932618639927969,0.932618639927969,"196883/4624/4625/3678/779/7139/59284/7137/7040/7171/59283/5566/59285/3675/782/3674/6442/3690/776/1605/7134/55799/9254/778/3691/71/4633/488/2010/6262",30
"hsa00500","hsa00500","Starch and sucrose metabolism","14/1792","36/7240",0.0423260595883441,0.932618639927969,0.932618639927969,"278/276/280/279/277/2997/2821/2538/92579/283209/2632/2548/55276/57733",14
"hsa05032","hsa05032","Morphine addiction","30/1792","91/7240",0.0471357374485816,0.932618639927969,0.932618639927969,"196883/134/2784/2783/2792/2791/94235/5582/5143/773/2788/5566/5141/409/2793/5138/408/2773/2771/8622/2560/2555/2565/2868/2557/55879/2564/2556/2786/5140",30
"hsa04010","hsa04010","MAPK signaling pathway","75/1792","255/7240",0.0481795268620135,0.932618639927969,0.932618639927969,"7048/5599/3552/3553/3164/779/5778/9261/7132/80824/5582/59284/11184/3727/5605/4909/8605/6237/51295/7040/27006/4616/2872/100506012/5536/208/59283/773/5609/115727/5971/5566/26291/59285/409/2256/9020/782/4137/4763/5598/6416/1845/51701/7157/1398/57551/5606/8913/5058/2248/2249/408/9965/776/1849/7867/2317/55799/9254/778/2885/5881/356/51347/8550/2261/8517/2316/1852/10000/22800/3265/1850/3845",75
"hsa04727","hsa04727","GABAergic synapse","29/1792","88/7240",0.0505772346404695,0.932618639927969,0.932618639927969,"196883/779/23710/2784/2783/2792/2791/94235/5582/773/2788/5566/11337/4905/2793/9001/2773/776/2771/10991/778/2560/2555/2565/2557/55879/2564/2556/2786",29
"hsa04910","hsa04910","Insulin signaling pathway","43/1792","138/7240",0.0508157592268445,0.932618639927969,0.932618639927969,"5565/5261/5599/5106/90673/10603/2997/3991/5605/9322/25759/2872/208/5296/808/3643/5566/23624/31/2319/51763/6517/1398/2538/6720/92579/3636/5576/89801/57521/2194/2885/23265/9021/5501/32/5564/10891/10000/3630/3265/5140/3845",43
"hsa04152","hsa04152","AMPK signaling pathway","38/1792","121/7240",0.0569756112726072,0.987577262058525,0.987577262058525,"5565/5106/51094/2997/84699/3991/9230/1938/208/5518/5296/84335/6794/3643/1994/126129/4218/31/6517/2538/6720/92579/595/1374/28227/5210/57521/2194/3156/32/10645/5564/8408/10891/5522/23216/10000/3630",38
"hsa05223","hsa05223","Non-small cell lung cancer","20/1792","58/7240",0.0616010148190441,0.999954425916137,0.999954425916138,"5915/83593/1021/5582/5605/208/5296/3718/6776/6774/2064/6777/7157/595/2272/11186/2885/10000/3265/3845",20
"hsa04920","hsa04920","Adipocytokine signaling pathway","23/1792","69/7240",0.0674946139832833,0.999954425916137,0.999954425916138,"5565/5599/5106/51094/7132/81616/208/4793/6794/126129/6774/6517/2538/92579/1374/9021/32/10645/5781/5564/10891/8517/10000",23
