"","x"
"1","ZNF717"
"2","CCDC8"
"3","TRIM64C"
"4","HLA-DRB1"
"5","MADCAM1"
"6","PDE4DIP"
"7","MUC6"
"8","OBSCN"
"9","OR8U8"
"10","MUC12"
"11","PABPC3"
"12","CFAP46"
"13","EXD3"
"14","PRAMEF2"
"15","ODF4"
"16","ZNF79"
"17","DNAH9"
"18","AP1G1"
"19","HLA-B"
"20","GPIHBP1"
"21","FRG2C"
"22","MUC3A"
"23","CTBP2"
"24","HLA-C"
"25","PPP1R14C"
"26","FLG"
"27","PRSS1"
"28","MUC16"
"29","CACNA1B"
"30","RAET1E"
"31","ZFPM1"
"32","ANO9"
"33","OVCH2"
"34","MUC5B"
"35","OR9G9"
"36","HLA-DRB5"
"37","HLA-DQA1"
"38","YBEY"
"39","JAKMIP1"
"40","COL18A1"
"41","MAGEC1"
"42","CFHR4"
"43","TEAD3"
"44","CD96"
"45","AR"
"46","GAS2L2"
"47","ASXL1"
"48","SCO1"
"49","OR2M4"
"50","DHX30"
"51","TINAGL1"
"52","DOCK7"
"53","THADA"
"54","TRIM6-TRIM34"
"55","OR2AK2"
"56","CUL7"
"57","AKAP13"
"58","ICOSLG"
"59","PIDD1"
"60","NUP133"
"61","RYR3"
"62","FGFR4"
"63","SPDYE1"
"64","ODF3L2"
"65","SON"
"66","WDR35"
"67","HNF1B"
"68","CRYBG3"
"69","EHD2"
"70","LOC100506388"
"71","ANKRD30A"
"72","ZYG11B"
"73","LILRA6"
"74","FADS6"
"75","REG3A"
"76","FRMD4A"
"77","SEC23IP"
"78","ANKRD36"
"79","OTOF"
"80","ABCA1"
"81","CSMD2"
"82","KRTAP5-5"
"83","OR4K15"
"84","ROM1"
"85","SIGIRR"
"86","ASPH"
"87","ARID1A"
"88","PLCB3"
"89","MALRD1"
"90","KRTAP9-8"
"91","UCMA"
"92","EIF5B"
"93","TAS2R43"
"94","DDX4"
"95","PER1"
"96","TP53"
"97","TMEM2"
"98","SLC1A5"
"99","SEC24B"
"100","ZNF609"
"101","LPCAT1"
"102","PRR14L"
"103","EPB42"
"104","THBS4"
"105","ZNF83"
"106","BRINP1"
"107","RNF214"
"108","ATXN1L"
"109","SLC4A1AP"
"110","FAM129C"
"111","THAP1"
"112","ZNF628"
"113","CNTNAP5"
"114","RBM27"
"115","PCDHA4"
"116","TSHZ1"
"117","SDK1"
"118","SALL2"
"119","RP1L1"
"120","CCDC40"
"121","ZSWIM6"
"122","LOC388780"
"123","EXOC6"
"124","LONRF2"
"125","PI4K2B"
"126","FOXQ1"
"127","VPS13B"
"128","DDX51"
"129","MRPS36"
"130","VPS50"
"131","ZNF208"
"132","ESX1"
"133","CCDC177"
"134","SHC2"
"135","OTOGL"
"136","EVL"
"137","TNNI3K"
"138","FPGT-TNNI3K"
"139","OR4M1"
"140","LDHA"
"141","CSMD3"
"142","CYTH3"
"143","ALG8"
"144","CUX2"
"145","ARTN"
"146","SRGAP1"
"147","PER2"
"148","MICALL2"
"149","ESRP1"
"150","FCN2"
"151","PBX1"
"152","EGLN2"
"153","PLCH2"
"154","KLHDC9"
"155","SNX25"
"156","MTCH2"
"157","ADGRV1"
"158","DIAPH1"
"159","TBCD"
"160","IL1RAP"
"161","SP8"
"162","ACADSB"
"163","PTPRD"
"164","KCNJ9"
"165","FAM65A"
"166","MTF2"
"167","HEATR1"
"168","CACNA1G"
"169","ANKLE1"
"170","SLC4A3"
"171","FLG2"
"172","MLC1"
"173","ZFP28"
"174","AHNAK2"
"175","MYO7A"
"176","TPTE"
"177","BIRC6"
"178","PTEN"
"179","GDF7"
"180","MUC21"
"181","ZBTB10"
"182","C16orf52"
"183","CTU2"
"184","FAM104B"
"185","PCDHA8"
"186","KCNJ18"
"187","EFCAB6"
"188","MNX1"
"189","CHEK2"
"190","FRRS1L"
"191","PERM1"
"192","DSPP"
"193","LAMA5"
"194","OR12D2"
"195","IGFN1"
"196","CACHD1"
"197","SSC5D"
"198","HRNR"
"199","SERPINA1"
"200","PLEKHG4B"
"201","PARP4"
"202","OR10A2"
"203","FAM186A"
"204","CRMP1"
"205","CNOT2"
"206","EVPL"
"207","TYRO3"
"208","FAM132A"
"209","PAPSS2"
"210","OR2J3"
"211","GPATCH1"
"212","SAR1B"
"213","TSGA10"
"214","ZNF806"
"215","ATAD5"
"216","MYH9"
"217","DGKQ"
"218","LILRB1"
"219","CASC1"
"220","ZNF676"
"221","INO80E"
"222","R3HDM4"
"223","PRSS3"
