,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa04740,hsa04740,Olfactory transduction,410/6739,419/7276,1.18680152941579e-06,0.000364348069530647,0.000288580161363208,CALML5/CALML3/OR13A1/PRKG1/CAMK2G/OR4C46/OR4A47/OR4C12/OR4C13/OR4A5/OR4B1/OR4X2/OR4C3/OR4C45/OR4S1/OR4X1/OR52B4/OR52K1/OR52K2/OR52M1/OR52I2/OR51D1/OR51E1/OR52I1/OR51E2/OR51F1/OR52R1/OR51F2/OR51S1/OR51A2/OR51A4/OR51A7/OR51G1/OR51G2/OR51T1/OR51L1/OR52J3/OR52E2/OR52A5/OR51V1/OR52A1/OR51B2/OR51B4/OR51B5/OR51B6/OR51I1/OR51I2/OR51M1/OR51Q1/OR52D1/OR52B6/OR52H1/OR56B1/OR52N1/OR52N4/OR52N5/OR52E4/OR52E6/OR52E8/OR52N2/OR56A3/OR56A5/OR52L1/OR56A1/OR56A4/OR52B2/OR56B4/CNGA4/OR52W1/OR2AG2/OR2AG1/OR6A2/OR10A5/OR10A2/OR10A4/OR2D2/OR2D3/OR5P2/OR5P3/OR10A3/OR10A6/OR4A15/OR4A16/OR4C15/OR4C11/OR4C16/OR4P4/OR4S2/OR4C6/OR5D13/OR5D14/OR5D16/OR5D18/OR5L1/OR5L2/OR5AS1/OR8I2/OR8H2/OR8H3/OR8J3/OR8K5/OR5J2/OR5T2/OR5T3/OR5T1/OR8H1/OR8J1/OR8K1/OR8K3/OR8U1/OR8U8/OR5R1/OR5M10/OR5M11/OR5M3/OR5M8/OR5M9/OR5M1/OR5AP2/OR5AR1/OR9G1/OR9G4/OR9G9/OR5AK2/OR9Q1/OR6Q1/OR9I1/OR1S1/OR1S2/OR9Q2/OR10Q1/OR10W1/OR5B17/OR5B2/OR5B3/OR5B12/OR5B21/OR5AN1/OR5A2/OR4D6/OR5A1/OR4D10/OR4D11/OR10V1/OR4D9/OR10AG1/OR5F1/OR5I1/OR5W2/PDE2A/OR2AT4/ARRB1/OR6X1/OR6M1/OR8D4/OR4D5/OR6T1/OR10G4/OR10G8/OR10G9/OR10S1/OR10G7/OR8B2/OR8B3/OR8B4/OR8B8/OR8D1/OR8D2/OR8G1/OR8G5/OR8B12/OR8A1/ANO2/OR10AD1/OR8S1/PDE1B/OR9K2/OR10A7/OR6C74/OR6C1/OR6C3/OR6C6/OR6C65/OR6C75/OR6C76/OR2AP1/OR6C2/OR6C4/OR6C68/OR6C70/OR10P1/OR11G2/OR11H4/OR11H6/OR4K1/OR4K13/OR4K14/OR4K15/OR4K17/OR4K2/OR4K5/OR4L1/OR4M1/OR4N2/OR4N5/OR4Q3/OR6S1/OR5AU1/OR10G2/OR10G3/OR4E2/OR4E1/OR11H12/SLC8A3/CALM1/SLC24A4/OR4M2/OR4N4/CALML4/OR4F15/OR4F6/GNG13/OR1F1/OR2C1/CNGB1/GUCY2D/ARRB2/OR1E1/OR1E2/OR3A3/OR1D2/OR1D5/OR1G1/OR1A1/OR1A2/OR3A1/OR3A2/OR4D1/OR4D2/GNAL/OR7C1/OR7A10/OR7A17/OR7A5/OR1I1/OR7C2/OR10H1/OR10H2/OR10H3/OR10H5/OR10H4/PRKACA/OR2Z1/OR1M1/OR7G1/OR7G2/OR7G3/OR7D2/OR7D4/OR7E24/OR4F17/GNG7/CALM3/SLC8A2/PRKACB/OR4F16/OR4F29/OR4F3/OR4F5/GNB1/CALML6/OR10K1/OR10K2/OR10R2/OR10T2/OR6Y1/OR10X1/OR10Z1/OR6P1/OR6K2/OR6K3/OR6K6/OR6N1/OR6N2/OR10J3/OR10J1/OR10J5/RGS2/OR2B11/OR2C3/OR2G2/OR13G1/OR14A16/OR1C1/OR2G3/OR6F1/OR11L1/OR2AK2/OR2L8/OR2T8/OR2W3/OR14C36/OR2L13/OR2L2/OR2L3/OR2L5/OR2M2/OR2M3/OR2M4/OR2M5/OR2M7/OR2T12/OR2T33/OR2T4/OR2T6/OR2T1/OR2T2/OR14I1/OR2G6/OR2T10/OR2T11/OR2T27/OR2T29/OR2T3/OR2T34/OR2T5/OR11H1/SLC8A1/CALM2/ADCY3/CNGA3/PDE1A/OR6B2/OR6B3/OR5AC2/OR5H1/OR5H14/OR5H15/OR5H6/OR5H2/OR5K1/OR5K2/OR5K3/OR5K4/PRKG2/CAMK2D/CAMK2A/OR2Y1/OR2V1/OR2V2/OR2B2/OR2B6/OR2W1/OR2B3/OR2J2/OR2J3/OR14J1/OR5V1/OR10C1/OR11A1/OR12D2/OR12D3/OR2H1/OR2H2/OR2A4/CAMK2B/PDE1C/OR2AE1/OR9A4/OR6V1/OR9A2/OR2F2/OR2A25/OR2A5/OR2F1/OR6B1/OR2A12/OR2A14/OR2A2/OR2A1/OR2A42/OR2A7/OR4F21/NCALD/OR13J1/OR2S2/PRKACG/OR13F1/OR13C2/OR13C3/OR13C4/OR13C5/OR13C8/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR1J4/OR1N1/OR1B1/OR1L1/OR1L3/OR1L8/OR1N2/OR1Q1/OR1L4/OR1K1/OR1L6/OR5C1,410
hsa05167,hsa05167,Kaposi's sarcoma-associated herpesvirus infection,172/6739,173/7276,2.22815544655678e-05,0.00342021861046466,0.00270896793765588,MAPK8/PPP3CB/FAS/CHUK/HRAS/IRF7/GNG3/RELA/CCND1/FADD/ITPR2/KRAS/GABARAPL1/TNFRSF1A/GNB3/CLEC2B/STAT2/CDK4/TBK1/RB1/NFATC4/IRF9/NFKBIA/GNG2/ATG14/HIF1A/FOS/TRAF3/AKT1/GNB5/MAP2K1/MAPK3/GNG13/CREBBP/TRADD/NFATC3/GABARAPL2/PLCG2/GABARAP/TP53/STAT3/BECN1/MAP3K14/GNGT2/MAP2K6/PIK3C3/NFATC1/PIK3R2/ICAM1/TYK2/GNG7/MAP2K2/TICAM1/C3/ZFP36/AKT2/GNG8/BAX/IRF3/NRAS/GNG5/JAK1/GNG12/JUN/PIK3R3/E2F2/CASP9/PIK3CD/MTOR/GNB1/PTGS2/IKBKE/MAPKAPK2/GNG4/BECN2/AKT3/HCK/E2F1/SRC/PLCG1/NFATC2/IFNAR2/IFNAR1/RCAN1/BID/MAPK1/PDGFB/EP300/MAPK11/MAPK12/PPP3R1/EIF2AK2/STAT1/CASP8/CREB1/CCR1/CCR3/CCR5/CTNNB1/CCR8/CCR4/RAF1/ITPR1/ATG3/CD200R1L/CD200R1/GSK3B/CD86/PIK3CB/GNB4/PIK3CA/CXCL8/CXCL1/CXCL2/CXCL3/MAPK10/PPP3CA/NFKB1/FGF2/CASP3/TLR3/IL6ST/PIK3R1/CSF2/MAPK9/VEGFA/CDKN1A/BAK1/ITPR3/MAPK14/MAPK13/HLA-E/HLA-B/HLA-C/MICA/MICB/HLA-F/HLA-G/HLA-A/E2F3/IFNGR1/IL6/CYCS/RAC1/CDK6/GNG11/GNGT1/GNB2/IKBKB/PPP3CC/ANGPT2/LYN/MYC/IFNB1/IFNA21/IFNA4/IFNA10/IFNA16/IFNA7/IFNA14/IFNA17/IFNA5/IFNA13/IFNA2/IFNA6/IFNA1/IFNA8/JAK2/SYK/PPP3R2/GNG10/TRAF2,172
hsa05200,hsa05200,Pathways in cancer,382/6739,395/7276,0.000348648827888924,0.0314634156279256,0.0249204492029858,CUL2/FZD8/ITGB1/RET/CXCL12/MAPK8/NCOA4/CCDC6/CTNNA3/PTEN/FAS/CHUK/WNT8B/FGF8/NFKB2/SUFU/TCF7L2/FGFR2/CTBP2/SPI1/TRAF6/HRAS/GNG3/BAD/PLCB3/VEGFB/RASGRP2/RELA/GSTP1/CCND1/FGF19/FGF4/FGF3/FADD/WNT11/FZD4/MMP1/BIRC2/BIRC3/ZBTB16/CBL/ARHGEF12/ETS1/KRAS/CDKN1B/GNB3/LPAR5/FGF23/FGF6/WNT5B/ADCY6/WNT1/WNT10B/GLI1/CDK2/CDK4/MDM2/KITLG/IGF1/HSP90B1/FZD10/FGF9/FLT3/BRCA2/CCNA1/FOXO1/RB1/LPAR6/EDNRB/FGF14/COL4A1/COL4A2/ADCY4/EGLN3/NFKBIA/SOS2/GNG2/PTGER2/BMP4/HIF1A/MAX/PGF/FOS/TGFB3/BDKRB1/BDKRB2/HSP90AA1/TRAF3/AKT1/RASGRP1/PLCB2/RAD51/FGF7/GNB5/DAPK2/MAP2K1/SMAD3/PML/ARNT2/KIF7/IGF1R/MAPK3/PRKCB/AXIN1/GNG13/ADCY9/CREBBP/ADCY7/MMP2/CDH1/PLCG2/DVL2/FGF11/TP53/CRK/NOS2/TRAF4/ERBB2/RARA/JUP/STAT5B/STAT3/STAT5A/ITGA2B/FZD2/WNT9B/WNT3/GNGT2/ITGA3/GNA13/AXIN2/PRKCA/GRB2/BIRC5/RAC3/RALBP1/LAMA1/ROCK1/LAMA3/PIAS2/SMAD2/SMAD4/DCC/BCL2/PIK3R2/LPAR2/F2RL3/PTGER1/PRKACA/FGF22/APC2/GNA11/GNG7/DAPK3/MAP2K2/CCNE1/CEBPA/RASGRP4/AKT2/EGLN2/TGFB1/ARHGEF1/CBLC/GNG8/FGF21/BAX/FLT3LG/KLK3/BIRC8/PRKCG/WNT2B/NRAS/GNAI3/GNG5/LPAR3/PTGER3/PRKACB/JAK1/GNG12/JUN/PTCH2/PIK3R3/SLC2A1/CSF3R/HDAC1/E2F2/CDC42/WNT4/CASP9/PIK3CD/MTOR/PLEKHG5/DVL1/GNB1/ARNT/TPM3/CKS1B/ARHGEF11/NTRK1/RXRG/FASLG/LAMC1/LAMC2/TPR/PTGS2/RASSF5/LAMB3/TRAF5/TGFB2/WNT3A/WNT9A/EGLN1/GNG4/FH/AKT3/PLCB4/BMP2/PLCB1/BCL2L1/E2F1/PLCG1/STK4/MMP9/GNAS/LAMA5/BIRC7/RUNX1/BID/CRKL/MAPK1/BCR/RAC2/PDGFB/RBX1/EP300/WNT7B/TCF7L1/CTNNA2/TGFA/MSH6/EPAS1/MSH2/SOS1/RASGRP3/ADCY3/ROCK2/PAX8/RALB/GLI2/CXCR4/ITGA6/ITGAV/STAT1/CASP8/FZD7/FZD5/FN1/WNT10A/WNT6/COL4A4/COL4A3/MITF/WNT5A/APPL1/GNAI2/RASSF1/LAMB2/RHOA/CTNNB1/MLH1/TGFBR2/RARB/WNT7A/PPARG/RAF1/VHL/TFG/CBLB/GSK3B/ADCY5/PIK3CB/AGTR1/MECOM/PLD1/GNB4/PIK3CA/DVL3/FGF12/CTBP1/FGFR3/PDGFRA/KIT/CXCL8/FGF5/MAPK10/NFKB1/LEF1/EGF/FGF2/HHIP/EDNRA/VEGFC/CASP3/FGF10/PTGER4/SKP2/ADCY2/ITGA2/PIK3R1/F2R/MSH3/APC/TCF7/WNT8A/CTNNA1/FGF1/CSF1R/PDGFRB/FGF18/MAPK9/VEGFA/HSP90AB1/CDKN1A/PPARD/RXRB/E2F3/LAMA4/HDAC2/LAMA2/EGFR/ADCY1/RALA/GLI3/IL6/CYCS/RAC1/GNA12/PDGFA/FZD9/GNAI1/HGF/FZD1/CDK6/GNG11/GNGT1/GNB2/LAMB1/LAMB4/MET/WNT2/WNT16/SMO/BRAF/SHH/IKBKB/FGFR1/FZD3/NKX3-1/FGF17/FGF20/RUNX1T1/CCNE2/FZD6/MYC/ADCY8/PTK2/CDKN2A/CDKN2B/PRKACG/GNAQ/DAPK1/CKS2/PTCH1/TGFBR1/LPAR1/GNG10/TRAF1/ABL1/LAMC3/RXRA/RALGDS/TRAF2,382
hsa04916,hsa04916,Melanogenesis,101/6739,101/7276,0.00040994678342574,0.0314634156279256,0.0249204492029858,FZD8/CALML5/CALML3/CAMK2G/WNT8B/TCF7L2/CREB3L1/HRAS/PLCB3/WNT11/FZD4/TYR/KRAS/WNT5B/ADCY6/WNT1/WNT10B/KITLG/FZD10/EDNRB/DCT/ADCY4/CALM1/PLCB2/MAP2K1/CALML4/MAPK3/PRKCB/ADCY9/CREBBP/ADCY7/GNAO1/MC1R/DVL2/FZD2/WNT9B/WNT3/PRKCA/PRKACA/CREB3L3/MAP2K2/CALM3/PRKCG/WNT2B/NRAS/GNAI3/PRKACB/WNT4/DVL1/CALML6/CREB3L4/WNT3A/WNT9A/PLCB4/PLCB1/ASIP/GNAS/MAPK1/EP300/WNT7B/TCF7L1/CALM2/ADCY3/POMC/FZD7/CREB1/FZD5/WNT10A/WNT6/MITF/WNT5A/GNAI2/CTNNB1/WNT7A/RAF1/GSK3B/ADCY5/DVL3/KIT/LEF1/CAMK2D/ADCY2/TCF7/WNT8A/CAMK2A/EDN1/ADCY1/CAMK2B/FZD9/GNAI1/FZD1/WNT2/WNT16/CREB3L2/FZD3/FZD6/ADCY8/CREB3/TYRP1/PRKACG/GNAQ,101
hsa04915,hsa04915,Estrogen signaling pathway,98/6739,98/7276,0.000517668912525301,0.0317848712290535,0.0251750565880725,CALML5/CALML3/CREB3L1/HRAS/PLCB3/HSPA8/KCNJ5/ITPR2/KRAS/FKBP4/ADCY6/SP1/HSP90B1/ADCY4/SOS2/ESR2/HSPA2/FOS/CALM1/HSP90AA1/AKT1/PLCB2/SHC4/MAP2K1/CALML4/MAPK3/ADCY9/ADCY7/MMP2/GNAO1/GRB2/PIK3R2/PRKACA/SHC2/CREB3L3/MAP2K2/AKT2/CALM3/NRAS/GNAI3/PRKACB/JUN/PIK3R3/PIK3CD/CALML6/CREB3L4/SHC1/KCNJ9/HSPA6/AKT3/PLCB4/PLCB1/SRC/MMP9/GNAS/KCNJ6/MAPK1/ATF4/CALM2/SOS1/ADCY3/KCNJ3/ATF2/CREB1/PRKCD/GNAI2/RAF1/ITPR1/ADCY5/PIK3CB/PIK3CA/ADCY2/PIK3R1/HBEGF/HSP90AB1/ITPR3/FKBP5/HSPA1A/HSPA1B/HSPA1L/ATF6B/GABBR1/GRM1/ESR1/OPRM1/EGFR/ADCY1/CREB5/GPER1/GNAI1/CREB3L2/NOS3/ADCY8/CREB3/PRKACG/GNAQ/SHC3/GABBR2,98
hsa05165,hsa05165,Human papillomavirus infection,311/6739,321/7276,0.000773218470802279,0.0355675496533025,0.0281711091030786,PARD3/FZD8/ITGB1/ITGA8/PTEN/FAS/CHUK/WNT8B/TCF7L2/PPP2R2D/CREB3L1/HRAS/BAD/PPP2R5B/RELA/RPS6KB2/TCIRG1/CCND1/FADD/WNT11/DLG2/FZD4/MAML2/ATM/PPP2R1B/KRAS/CDKN1B/VWF/TNFRSF1A/CHD4/CCND2/WNT5B/HDAC7/COL2A1/WNT1/WNT10B/ITGB7/ITGA5/ITGA7/STAT2/CDK2/CDK4/TBK1/MDM2/PXN/OASL/ATP6V0A2/FZD10/CCNA1/CSNK1A1L/FOXO1/RB1/COL4A1/COL4A2/IRF9/PPP2R3C/SOS2/TBPL2/PPP2R5E/MPP5/PSEN1/PSMC1/PPP2R5C/TRAF3/AKT1/UBE3A/THBS1/MAP2K1/ITGA11/PKM/MAPK3/AXIN1/TSC2/CREBBP/RBL2/TRADD/PARD6A/LLGL1/DVL2/TP53/HES7/VTN/ATP6V0A1/TUBG1/TUBG2/HDAC5/ITGA2B/FZD2/WNT9B/ITGB3/WNT3/ITGA3/CHAD/COL1A1/RPS6KB1/AXIN2/SLC9A3R1/GRB2/ITGB4/LLGL2/RFNG/LAMA1/LAMA3/BCL2/PARD6G/COMP/PIK3R2/NOTCH3/PRKACA/TYK2/APC2/CRB3/CREB3L3/MAP2K2/TICAM1/CCNE1/AKT2/BAX/IRF3/PPP2R1A/NOTCH2/WNT2B/NRAS/PRKACB/JAK1/PIK3R3/COL9A2/HEYL/HDAC1/CDC42/WNT4/UBR4/PIK3CD/MTOR/HES2/HES3/HES5/HES4/ISG15/DVL1/PRKCZ/ITGA10/CREB3L4/THBS3/FASLG/TNN/TNR/LAMC1/LAMC2/PTGS2/IKBKE/LAMB3/PPP2R5A/WNT3A/WNT9A/AKT3/JAG1/BCL2L1/E2F1/RBL1/RBPJL/PARD6B/GNAS/LAMA5/COL9A3/IFNAR2/IFNAR1/MX1/COL6A1/COL6A2/MAPK1/MFNG/EP300/WNT7B/HDAC10/TCF7L1/SOS1/EIF2AK2/ITGB6/ITGA6/ITGA4/ITGAV/STAT1/CASP8/FZD7/CREB1/FZD5/FN1/WNT10A/WNT6/COL4A4/COL4A3/COL6A3/HES6/HDAC4/MAGI1/WNT5A/LAMB2/CTNNB1/ITGA9/WNT7A/HDAC11/RAF1/TADA3/GSK3B/ITGB5/COL6A5/COL6A6/PPP2R3A/PIK3CB/ATR/PRKCI/PIK3CA/DVL3/HES1/DLG1/RBPJ/PPP2R2C/IBSP/SPP1/NFKB1/EGF/CCNA2/MAML3/CASP3/TLR3/PTGER4/TERT/ITGA1/ITGA2/PIK3R1/THBS4/APC/IRF1/TCF7/PPP2CA/WNT8A/HDAC3/PPP2R2B/CSNK1A1/PDGFRB/MAML1/CCND3/PPP2R5D/VEGFA/CDKN1A/BAK1/NOTCH4/HLA-E/HLA-B/HLA-C/TNF/TNXB/HLA-F/HLA-G/HLA-A/COL9A1/LAMA4/HDAC2/HEY2/LAMA2/TBPL1/THBS2/EGFR/CREB5/HDAC9/ITGB8/LFNG/FZD9/FZD1/CDK6/COL1A2/RELN/LAMB1/LAMB4/WNT2/WNT16/CREB3L2/ATP6V0A4/RHEB/IKBKB/EIF4EBP1/PPP2CB/FZD3/PPP2R2A/HEY1/CCNE2/FZD6/PTK2/SCRIB/CREB3/NFX1/IFNB1/IFNA21/IFNA4/IFNA10/IFNA16/IFNA7/IFNA14/IFNA17/IFNA5/IFNA13/IFNA2/IFNA6/IFNA1/IFNA8/PRKACG/TNC/LAMC3/TSC1/NOTCH1,311
hsa04611,hsa04611,Platelet activation,122/6739,123/7276,0.000810986474179536,0.0355675496533025,0.0281711091030786,ITGB1/APBB1IP/PRKG1/STIM1/FERMT3/PLCB3/RASGRP2/PPP1CA/GUCY1A2/ARHGEF12/ITPR2/VWF/ADCY6/RAP1B/PPP1R12A/PPP1CC/ORAI1/ADCY4/AKT1/RASGRP1/PLCB2/JMJD7-PLA2G4B/PLA2G4B/PLA2G4D/PLA2G4E/PLA2G4F/SNAP23/TLN2/MAPK3/ADCY9/MYLK3/ADCY7/PLCG2/PIK3R6/PIK3R5/P2RX1/GP1BA/ITGA2B/ITGB3/COL1A1/GNA13/ACTG1/MYL12A/MYL12B/ROCK1/PIK3R2/F2RL3/PRKACA/TBXA2R/AKT2/ARHGEF1/VASP/ARHGAP35/PTGIR/PLA2G4C/GP6/RAP1A/GNAI3/PRKACB/PIK3R3/PIK3CD/PRKCZ/FCER1G/FCGR2A/PLA2G4A/AKT3/PLCB4/PLCB1/MYLK2/SRC/GNAS/GP1BB/MAPK1/MAPK11/MAPK12/VAMP8/PPP1CB/ADCY3/ROCK2/COL3A1/GNAI2/RHOA/ITPR1/ADCY5/MYLK/GP9/PIK3CB/P2RY12/P2RY1/PRKCI/PIK3CA/GP5/PRKG2/FGA/FGB/FGG/GUCY1A3/GUCY1B3/ADCY2/ITGA2/PIK3R1/F2R/LCP2/ITPR3/MAPK14/MAPK13/MYLK4/FYN/ADCY1/ACTB/GNAI1/COL1A2/PIK3CG/TBXAS1/NOS3/LYN/ADCY8/TLN1/PRKACG/GNAQ/SYK/PTGS1,122
hsa04071,hsa04071,Sphingolipid signaling pathway,117/6739,118/7276,0.00115280461407084,0.0430187293031727,0.0340727806241485,MAPK8/ASAH2/SGMS1/SGPL1/PTEN/PPP2R2D/SMPD1/HRAS/CTSD/MS4A2/PLCB3/PPP2R5B/RELA/GAB2/PPP2R1B/KRAS/TNFRSF1A/CERS5/PPP2R3C/PPP2R5E/SGPP1/SPTLC2/BDKRB2/DEGS2/PPP2R5C/AKT1/PLCB2/MAP2K1/CERS3/MAPK3/PRKCB/ABCC1/PDPK1/TRADD/TP53/PLD2/GNA13/PRKCA/SPHK1/RAC3/ROCK1/BCL2/PIK3R2/CERS1/CERS4/S1PR2/S1PR5/S1PR4/ACER1/MAP2K2/AKT2/SPHK2/BAX/PPP2R1A/PRKCG/ADORA3/NRAS/GNAI3/S1PR1/PIK3R3/OPRD1/PIK3CD/PRKCZ/CERS2/FCER1A/FCER1G/ADORA1/PPP2R5A/DEGS1/AKT3/SPTLC3/PLCB4/PLCB1/BID/MAPK1/RAC2/MAPK11/MAPK12/PRKCE/ROCK2/CERS6/SGPP2/GNAI2/RHOA/RAF1/PPP2R3A/PIK3CB/PLD1/PIK3CA/PPP2R2C/MAPK10/NFKB1/SGMS2/PIK3R1/PPP2CA/PPP2R2B/MAPK9/PPP2R5D/MAPK14/MAPK13/TNF/SMPD2/FYN/MAP3K5/RAC1/GNA12/GNAI1/NOS3/PPP2CB/PPP2R2A/ASAH1/NSMAF/ACER2/GNAQ/S1PR3/SPTLC1/TRAF2,117
hsa04015,hsa04015,Rap1 signaling pathway,205/6739,210/7276,0.00131563138644013,0.0430187293031727,0.0340727806241485,PARD3/ITGB1/APBB1IP/CALML5/CALML3/PLCE1/FGF8/FGFR2/HRAS/INS/CTNND1/PLCB3/VEGFB/RASGRP2/SIPA1/FGF19/FGF4/FGF3/PDGFD/DRD2/KRAS/GRIN2B/LPAR5/FGF23/FGF6/RAPGEF3/ADCY6/RAP1B/KITLG/IGF1/FGF9/FLT1/FGF14/ADCY4/PRKD1/SIPA1L1/PGF/CALM1/AKT1/THBS1/PLCB2/FGF7/TLN2/MAP2K1/CALML4/IGF1R/LAT/MAPK3/ITGAL/ITGAM/PRKCB/GRIN2A/ADCY9/ADCY7/GNAO1/PARD6A/CDH1/BCAR1/MAP2K3/ADORA2B/FGF11/PFN1/CRK/ITGA2B/ITGB3/SKAP1/NGFR/PRKCA/MAP2K6/ACTG1/RAC3/PARD6G/PIK3R2/LPAR2/F2RL3/INSR/FGF22/EFNA2/MAP2K2/AKT2/SIPA1L3/VASP/CALM3/PRKD2/FGF21/RRAS/FPR1/PRKCG/NGF/RAP1A/MAGI3/NRAS/GNAI3/CSF1/LPAR3/PIK3R3/CDC42/RAP1GAP/EPHA2/PIK3CD/CALML6/PRKCZ/EFNA1/EFNA3/EFNA4/RASSF5/SIPA1L2/AKT3/PLCB4/PLCB1/ANGPT4/ID1/SRC/PLCG1/PARD6B/GNAS/TIAM1/ITGB2/CRKL/MAPK1/ADORA2A/RAC2/PDGFB/MAPK11/MAPK12/CALM2/PRKD3/RASGRP3/PFN4/ADCY3/RALB/RAPGEF4/FARP2/MAGI1/GNAI2/RHOA/CTNNB1/RAF1/ADCY5/MRAS/PIK3CB/PFN2/P2RY1/PRKCI/PIK3CA/FGF12/FGFR3/PDGFRA/KIT/KDR/FGF5/EGF/FGF2/PDGFC/RAPGEF2/VEGFC/FGF10/FYB/ADCY2/PIK3R1/F2R/EFNA5/RAPGEF6/ARAP3/FGF1/CSF1R/PDGFRB/LCP2/FGF18/FGFR4/PFN3/RGS14/FLT4/VEGFA/MAPK14/MAPK13/CNR1/EGFR/ADCY1/RALA/RAPGEF5/ACTB/RAC1/PDGFA/MAGI2/GNAI1/HGF/KRIT1/DOCK4/MET/BRAF/FGFR1/FGF17/FGF20/ANGPT2/ANGPT1/ADCY8/TLN1/TEK/GNAQ/LPAR1/RAPGEF1/VAV2/RALGDS/GRIN1,205
hsa04350,hsa04350,TGF-beta signaling pathway,84/6739,84/7276,0.00153574367297441,0.0430187293031727,0.0340727806241485,BAMBI/NODAL/BMPR1A/RPS6KB2/PPP2R1B/ACVR1B/AMHR2/SP1/INHBC/INHBE/IFNG/DCN/SMAD9/TFDP1/BMP4/TGFB3/THBS1/SMAD6/SMAD3/MAPK3/CREBBP/E2F4/NOG/RPS6KB1/SMURF2/TGIF1/ROCK1/SMAD2/SMAD7/SMAD4/AMH/TGFB1/PPP2R1A/ZFYVE9/BMP8B/BMP8A/ID3/MINOS1-NBL1/NBL1/TGFB2/LEFTY1/LEFTY2/BMP2/ID1/GDF5/TGIF2/RBL1/BMP7/MAPK1/RBX1/EP300/LTBP1/GDF7/ID2/INHBB/ACVR2A/ACVR1C/ACVR1/BMPR2/RHOA/ACVR2B/TGFBR2/CHRD/BMPR1B/PITX2/SMAD1/FST/ZFYVE16/PPP2CA/SKP1/SMAD5/BMP5/TNF/ID4/BMP6/INHBA/SMURF1/CUL1/PPP2CB/E2F5/GDF6/MYC/CDKN2B/TGFBR1,84
