"","x"
"1","SCNN1D"
"2","FAM132A"
"3","MIR6726"
"4","ACAP3"
"5","B3GALT6"
"6","UBE2J2"
"7","SDF4"
"8","LINC01770"
"9","MXRA8"
"10","MIR6727"
"11","MIR6808"
"12","TAS1R3"
"13","CCNL2"
"14","AURKAIP1"
"15","INTS11"
"16","DVL1"
"17","PUSL1"
"18","MRPL20"
"19","VWA1"
"20","TMEM88B"
"21","LOC148413"
"22","CPTP"
"23","ANKRD65"
"24","ATAD3C"
"25","SSU72"
"26","GNB1"
"27","MMP23B"
"28","SLC35E2B"
"29","ATAD3A"
"30","FNDC10"
"31","TMEM240"
"32","SLC35E2"
"33","NADK"
"34","MMP23A"
"35","CDK11B"
"36","CDK11A"
"37","ATAD3B"
"38","MIB2"
"39","LOC105378591"
"40","TMEM52"
"41","CFAP74"
"42","CALML6"
"43","PRKCZ"
"44","GABRD"
"45","FAAP20"
"46","SKI"
"47","MORN1"
"48","LOC100129534"
"49","RER1"
"50","PEX10"
"51","PLCH2"
"52","LOC115110"
"53","HES5"
"54","TNFRSF14"
"55","PANK4"
"56","LOC100996583"
"57","MMEL1"
"58","FAM213B"
"59","TTC34"
"60","LINC01777"
"61","MIR551A"
"62","ACTRT2"
"63","SMIM1"
"64","PRDM16"
"65","LINC01134"
"66","MEGF6"
"67","LINC00982"
"68","LRRC47"
"69","TP73"
"70","AJAP1"
"71","LINC01346"
"72","CEP104"
"73","MIR4251"
"74","DFFB"
"75","C1orf174"
"76","TP73-AS1"
"77","ARHGEF16"
"78","CCDC27"
"79","TPRG1L"
"80","WRAP73"
"81","MIR4252"
"82","GPR153"
"83","MIR4417"
"84","ICMT"
"85","RPL22"
"86","NPHP4"
"87","CHD5"
"88","RNF207"
"89","ESPN"
"90","LINC00337"
"91","MIR4689"
"92","ACOT7"
"93","HES3"
"94","LOC102724450"
"95","HES2"
"96","KCNAB2"
"97","TNFRSF25"
"98","TAS1R1"
"99","PLEKHG5"
"100","NOL9"
"101","KLHL21"
"102","CAMTA1"
"103","DNAJC11"
"104","ZBTB48"
"105","PHF13"
"106","LINC01672"
"107","THAP3"
"108","PARK7"
"109","PER3"
"110","UTS2"
"111","ERRFI1"
"112","TNFRSF9"
"113","VAMP3"
"114","RERE"
"115","LINC01714"
"116","SLC45A1"
"117","LOC102724552"
"118","SNORD128"
"119","H6PD"
"120","SLC2A5"
"121","MIR34A"
"122","MIR34AHG"
"123","LINC01759"
"124","ENO1-AS1"
"125","ENO1"
"126","GPR157"
"127","SLC2A7"
"128","CA6"
"129","LOC100506022"
"130","SPSB1"
"131","MIR6728"
"132","TMEM201"
"133","SLC25A33"
"134","PIK3CD-AS2"
"135","PIK3CD"
"136","PIK3CD-AS1"
"137","PEX14"
"138","CASZ1"
"139","KIAA2013"
"140","CLCN6"
"141","FBXO44"
"142","AGTRAP"
"143","LOC102724659"
"144","DRAXIN"
"145","C1orf167"
"146","DISP3"
"147","MTHFR"
"148","MAD2L2"
"149","FBXO6"
"150","UBIAD1"
"151","NPPA"
"152","FBXO2"
"153","NPPB"
"154","NPPA-AS1"
"155","LINC01647"
"156","MFN2"
"157","PLOD1"
"158","TNFRSF8"
"159","MIIP"
"160","MIR6729"
"161","KAZN"
"162","EPHA2"
"163","RSG1"
"164","FBXO42"
"165","ARHGEF19"
"166","SPATA21"
"167","LINC01783"
"168","ESPNP"
"169","MST1L"
"170","CROCCP2"
"171","NECAP2"
"172","MST1P2"
"173","LOC440570"
"174","FAM231B"
"175","LOC102724562"
"176","CROCCP3"
"177","FAM231C"
"178","MIR3675"
"179","SZRD1"
"180","FAM231A"
"181","NBPF1"
"182","LOC105376805"
"183","PADI4"
"184","SDHB"
"185","PADI6"
"186","PADI1"
"187","PADI2"
"188","MFAP2"
"189","CROCC"
"190","PADI3"
"191","MIR3972"
"192","ATP13A2"
"193","RCC2"
"194","ARHGEF10L"
"195","ACTL8"
"196","IGSF21"
"197","LINC01654"
"198","KLHDC7A"
"199","TAS1R2"
"200","PAX7"
"201","MIR1290"
"202","MIR4695"
"203","ALDH4A1"
"204","IFFO2"
"205","LACTBL1"
"206","LOC101928324"
"207","DHDDS"
"208","RPS6KA1"
"209","LIN28A"
"210","HMGN2"
"211","LOC101928728"
"212","MIR1976"
"213","ARID1A"
"214","ZSCAN20"
"215","CSMD2"
"216","CSMD2-AS1"
"217","HMGB4"
"218","C1orf94"
"219","MIR552"
"220","ZMYM4"
"221","PSMB2"
"222","TFAP2E"
"223","MIR4255"
"224","MYCBP"
"225","LOC105378663"
"226","RRAGC"
"227","GJA9-MYCBP"
"228","GJA9"
"229","RHBDL2"
"230","AKIRIN1"
"231","NDUFS5"
"232","MACF1"
"233","KIAA0754"
"234","SNORA55"
"235","OXCT2P1"
"236","BMP8A"
"237","HEYL"
"238","PABPC4"
"239","PPIEL"
"240","LOC101929516"
"241","NT5C1A"
"242","HPCAL4"
"243","PPIE"
"244","OXCT2"
"245","BMP8B"
"246","LOC101929536"
"247","MYCL"
"248","TRIT1"
"249","MFSD2A"
"250","CAP1"
"251","RIMS3"
"252","NFYC"
"253","NFYC-AS1"
"254","MIR30C1"
"255","KCNQ4"
"256","MIR30E"
"257","SLFNL1-AS1"
"258","CTPS1"
"259","SLFNL1"
"260","SCMH1"
"261","CITED4"
"262","FOXO6"
"263","LOC101929901"
"264","EDN2"
"265","HIVEP3"
"266","GUCA2A"
"267","GUCA2B"
"268","FOXJ3"
"269","RIMKLA"
"270","SVBP"
"271","TMEM269"
"272","ERMAP"
"273","YBX1"
"274","LOC105378683"
"275","PPCS"
"276","P3H1"
"277","CCDC30"
"278","LOC339539"
"279","C1orf50"
"280","PPIH"
"281","ZNF691"
"282","ZMYND12"
"283","CLDN19"
"284","FAM183A"
"285","SLC2A1"
"286","SLC2A1-AS1"
"287","CFAP57"
"288","EBNA1BP2"
"289","MIR6733"
"290","MPL"
"291","C1orf210"
"292","SZT2"
"293","MIR6735"
"294","ELOVL1"
"295","TMEM125"
"296","CDC20"
"297","TIE1"
"298","MIR6734"
"299","HYI"
"300","MED8"
"301","KDM4A"
"302","KDM4A-AS1"
"303","LOC101929592"
"304","ST3GAL3"
"305","PTPRF"
"306","MIR6079"
"307","ARTN"
"308","CCDC24"
"309","B4GALT2"
"310","IPO13"
"311","ATP6V0B"
"312","DPH2"
"313","SLC6A9"
"314","SNORA110"
"315","KLF17"
"316","DMAP1"
"317","ERI3"
"318","ERI3-IT1"
"319","RNF220"
"320","MIR5584"
"321","C1orf228"
"322","TMEM53"
"323","TCTEX1D4"
"324","SNORD46"
"325","EIF2B3"
"326","SNORD38B"
"327","PLK3"
"328","RPS8"
"329","BEST4"
"330","BTBD19"
"331","SNORD38A"
"332","PTCH2"
"333","SNORD55"
"334","KIF2C"
"335","MMACHC"
"336","MUTYH"
"337","TESK2"
"338","TOE1"
"339","CCDC163"
"340","HPDL"
"341","PRDX1"
"342","NASP"
"343","AKR1A1"
"344","IPP"
"345","RPS15AP10"
"346","TMEM69"
"347","MAST2"
"348","GPBP1L1"
"349","CCDC17"
"350","PIK3R3"
"351","LOC101929626"
"352","TSPAN1"
"353","POMGNT1"
"354","RAD54L"
"355","LURAP1"
"356","LRRC41"
"357","FAAH"
"358","UQCRH"
"359","NSUN4"
"360","FAAHP1"
"361","DMBX1"
"362","LINC01398"
"363","MKNK1"
"364","KNCN"
"365","MKNK1-AS1"
"366","MOB3C"
"367","TEX38"
"368","EFCAB14"
"369","EFCAB14-AS1"
"370","ATPAF1"
"371","CYP4B1"
"372","CYP4X1"
"373","CYP4Z2P"
"374","CYP4A11"
"375","RNF11"
"376","TTC39A"
"377","ZYG11B"
"378","PODN"
"379","SLC1A7"
"380","LINC01771"
"381","SLC25A3P1"
"382","GLIS1"
"383","LRP8"
"384","DMRTB1"
"385","TCEANC2"
"386","MRPL37"
"387","SSBP3-AS1"
"388","CDCP2"
"389","CYB5RL"
"390","SSBP3"
"391","USP24"
"392","C8A"
"393","PRKAA2"
"394","C1orf168"
"395","C8B"
"396","DAB1"
"397","DAB1-AS1"
"398","OMA1"
"399","TACSTD2"
"400","MYSM1"
"401","LINC01135"
"402","JUN"
"403","LINC01358"
"404","HSD52"
"405","FGGY"
"406","MIR4711"
"407","HOOK1"
"408","LOC101926944"
"409","CYP2J2"
"410","C1orf87"
"411","LOC101926964"
"412","NFIA-AS2"
"413","NFIA"
"414","NFIA-AS1"
"415","LEPR"
"416","PDE4B"
"417","LOC101927139"
"418","SGIP1"
"419","GADD45A"
"420","GNG12"
"421","DEPDC1-AS1"
"422","LRRC7"
"423","PIN1P1"
"424","PTGER3"
"425","ZRANB2-AS2"
"426","MIR186"
"427","ZRANB2"
"428","ZRANB2-AS1"
"429","NEGR1"
"430","NEGR1-IT1"
"431","LINC01360"
"432","LRRIQ3"
"433","FPGT-TNNI3K"
"434","FPGT"
"435","TNNI3K"
"436","ERICH3-AS1"
"437","ERICH3"
"438","CRYZ"
"439","TYW3"
"440","LHX8"
"441","SLC44A5"
"442","LOC101927342"
"443","ST6GALNAC3"
"444","ST6GALNAC5"
"445","MIR7156"
"446","PIGK"
"447","AK5"
"448","GIPC2"
"449","MGC27382"
"450","PTGFR"
"451","IFI44L"
"452","IFI44"
"453","ADGRL4"
"454","LINC01781"
"455","LOC101927434"
"456","ADGRL2"
"457","LINC01361"
"458","LINC01725"
"459","LOC101927560"
"460","TTLL7"
"461","PRKACB"
"462","COL24A1"
"463","MIR7856"
"464","ODF2L"
"465","CLCA2"
"466","CLCA1"
"467","CLCA4"
"468","LOC105378828"
"469","CLCA3P"
"470","DPYD"
"471","DPYD-AS2"
"472","MIR137HG"
"473","MIR137"
"474","MIR2682"
"475","LINC01776"
"476","SNX7"
"477","PLPPR5"
"478","LOC100129620"
"479","PLPPR4"
"480","LINC01708"
"481","PALMD"
"482","CDC14A"
"483","GPR88"
"484","LINC01349"
"485","VCAM1"
"486","EXTL2"
"487","SLC30A7"
"488","DPH5"
"489","LOC102606465"
"490","S1PR1"
"491","LOC101928370"
"492","LINC01307"
"493","OLFM3"
"494","DNAJA1P5"
"495","COL11A1"
"496","LOC101928436"
"497","AMY2B"
"498","RNPC3"
"499","AMY1C"
"500","AMY2A"
"501","AMY1A"
"502","AMY1B"
"503","ACTG1P4"
"504","LOC100129138"
"505","LINC01676"
"506","PRMT6"
"507","NTNG1"
"508","VAV3"
"509","SIKE1"
"510","SYCP1"
"511","LOC100996263"
"512","MAN1A2"
"513","FAM46C"
"514","GDAP2"
"515","WDR3"
"516","SPAG17"
"517","TBX15"
"518","LOC105378933"
"519","WARS2-IT1"
"520","LOC101929147"
"521","WARS2"
"522","HSD3B2"
"523","HAO2"
"524","HAO2-IT1"
"525","HSD3B1"
"526","LINC00622"
"527","HSD3BP4"
"528","ZNF697"
"529","PHGDH"
"530","NBPF7"
"531","HMGCS2"
"532","REG4"
"533","ADAM30"
"534","NOTCH2"
"535","FCGR1B"
"536","SRGAP2-AS1"
"537","SRGAP2C"
"538","FAM72B"
"539","HIST2H2BA"
"540","SRGAP2B"
"541","ANKRD20A12P"
"542","SRGAP2D"
"543","EMBP1"
"544","LOC102723769"
"545","FAM72C"
"546","PPIAL4G"
"547","FAM72D"
"548","LINC01138"
"549","MIR6077"
"550","LOC100132057"
"551","PDE4DIP"
"552","NBPF20"
"553","NBPF8"
"554","PPIAL4A"
"555","SEC22B"
"556","LOC100996724"
"557","LINC00623"
"558","PFN1P2"
"559","PPIAL4C"
"560","LINC00869"
"561","NBPF9"
"562","LOC101060524"
"563","PPIAL4D"
"564","DRD5P2"
"565","NBPF14"
"566","PPIAL4F"
"567","LOC101927429"
"568","NBPF25P"
"569","RNVU1-19"
"570","NBPF15"
"571","MIR5087"
"572","PPIAL4E"
"573","LOC645166"
"574","RNVU1-20"
"575","VPS45"
"576","OTUD7B"
"577","FCGR1CP"
"578","BOLA1"
"579","HIST2H3D"
"580","HIST2H4B"
"581","SV2A"
"582","LOC101929798"
"583","LOC388692"
"584","CA14"
"585","PLEKHO1"
"586","HIST2H2BC"
"587","LOC103091866"
"588","MTMR11"
"589","HIST2H3A"
"590","HIST2H4A"
"591","SF3B4"
"592","HIST2H3C"
"593","FCGR1A"
"594","HIST2H2AA3"
"595","HIST2H2AB"
"596","ANP32E"
"597","HIST2H2AA4"
"598","HIST2H2AC"
"599","HIST2H2BF"
"600","LOC105371433"
"601","FAM231D"
"602","HIST2H2BE"
"603","APH1A"
"604","CIART"
"605","PRPF3"
"606","C1orf54"
"607","MRPS21"
"608","RPRD2"
"609","ADAMTSL4"
"610","MIR4257"
"611","ECM1"
"612","MIR6878"
"613","TARS2"
"614","GOLPH3L"
"615","ENSA"
"616","MCL1"
"617","ADAMTSL4-AS1"
"618","FALEC"
"619","HORMAD1"
"620","CTSS"
"621","ARNT"
"622","CTSK"
"623","SETDB1"
"624","CERS2"
"625","FAM63A"
"626","ANXA9"
"627","PRUNE1"
"628","ASH1L"
"629","MIR555"
"630","SSR2"
"631","MIR6738"
"632","RXFP4"
"633","ARHGEF2"
"634","LINC01704"
"635","KIRREL"
"636","SPTA1"
"637","OR10X1"
"638","OR6P1"
"639","OR10Z1"
"640","OR6Y1"
"641","OR6K6"
"642","MNDA"
"643","OR6K2"
"644","OR6N1"
"645","OR6K3"
"646","PYHIN1"
"647","OR6N2"
"648","IFI16"
"649","AIM2"
"650","POP3"
"651","ACKR1"
"652","CADM3-AS1"
"653","CADM3"
"654","OR10J3"
"655","FCER1A"
"656","OR10J1"
"657","OR10J5"
"658","APCS"
"659","CRP"
"660","SUMO1P3"
"661","COPA"
"662","NCSTN"
"663","NHLH1"
"664","PEX19"
"665","VANGL2"
"666","SLAMF6"
"667","CD48"
"668","SLAMF1"
"669","CD84"
"670","SLAMF7"
"671","LOC101928372"
"672","ITLN2"
"673","ITLN1"
"674","CD244"
"675","LY9"
"676","F11R"
"677","ADAMTS4"
"678","UFC1"
"679","DEDD"
"680","NECTIN4"
"681","TSTD1"
"682","PPOX"
"683","MIR5187"
"684","NDUFS2"
"685","ARHGAP30"
"686","B4GALT3"
"687","NIT1"
"688","USF1"
"689","TOMM40L"
"690","PFDN2"
"691","KLHDC9"
"692","APOA2"
"693","NR1I3"
"694","FCER1G"
"695","USP21"
"696","PCP4L1"
"697","CFAP126"
"698","SDHC"
"699","MPZ"
"700","FCRLB"
"701","ATF6"
"702","FCGR2B"
"703","HSPA6"
"704","DUSP12"
"705","FCGR3A"
"706","RPL31P11"
"707","FCRLA"
"708","FCGR3B"
"709","HSPA7"
"710","FCGR2A"
"711","FCGR2C"
"712","OLFML2B"
"713","NOS1AP"
"714","MIR4654"
"715","C1orf226"
"716","MIR556"
"717","SH2D1B"
"718","SPATA46"
"719","RGS4"
"720","RGS5"
"721","LOC101928404"
"722","NUF2"
"723","LOC100422212"
"724","PBX1"
"725","LOC100505795"
"726","CREG1"
"727","RCSD1"
"728","CD247"
"729","POU2F1"
"730","MPZL1"
"731","ADCY10"
"732","LINC00970"
"733","DPT"
"734","LINC00626"
"735","NME7"
"736","LOC101928596"
"737","ATP1B1"
"738","BLZF1"
"739","CCDC181"
"740","SLC19A2"
"741","SELP"
"742","F5"
"743","SELL"
"744","SELE"
"745","C1orf112"
"746","METTL18"
"747","SCYL3"
"748","KIFAP3"
"749","MIR3119-1"
"750","METTL11B"
"751","MIR3119-2"
"752","LINC01142"
"753","LOC101928650"
"754","GORAB"
"755","PRRX1"
"756","MROH9"
"757","FMO3"
"758","FMO2"
"759","MIR1295A"
"760","FMO6P"
"761","MIR1295B"
"762","FMO1"
"763","DNM3"
"764","PIGC"
"765","SUCO"
"766","C1orf105"
"767","FASLG"
"768","TNFSF18"
"769","TNFSF4"
"770","LOC100506023"
"771","PRDX6"
"772","LOC101928673"
"773","SLC9C2"
"774","ANKRD45"
"775","LOC730159"
"776","KLHL20"
"777","SNORD80"
"778","SNORA103"
"779","SNORD47"
"780","GAS5-AS1"
"781","SNORD44"
"782","SNORD81"
"783","SNORD77"
"784","SNORD74"
"785","CENPL"
"786","ZBTB37"
"787","SNORD78"
"788","SNORD76"
"789","GAS5"
"790","SNORD75"
"791","DARS2"
"792","SNORD79"
"793","PAPPA2"
"794","ASTN1"
"795","MIR488"
"796","BRINP2"
"797","LINC01645"
"798","LINC01741"
"799","SEC16B"
"800","LOC730102"
"801","RASAL2-AS1"
"802","RASAL2"
"803","NPHS2"
"804","TDRD5"
"805","AXDND1"
"806","FAM163A"
"807","MIR3121"
"808","LHX4"
"809","ACBD6"
"810","QSOX1"
"811","FLJ23867"
"812","LHX4-AS1"
"813","OVAAL"
"814","CACNA1E"
"815","COLGALT2"
"816","RGL1"
"817","TSEN15"
"818","C1orf21"
"819","EDEM3"
"820","GS1-279B7.1"
"821","HMCN1"
"822","LINC01350"
"823","LINC01036"
"824","LINC01037"
"825","BRINP3"
"826","LINC01351"
"827","LINC01720"
"828","RGS18"
"829","RGS21"
"830","RGS1"
"831","RGS13"
"832","MIR4426"
"833","LINC01032"
"834","RGS2"
"835","UCHL5"
"836","CDC73"
"837","SCARNA18B"
"838","GLRX2"
"839","B3GALT2"
"840","TROVE2"
"841","MIR1278"
"842","LINC01031"
"843","KCNT2"
"844","MIR4735"
"845","CFH"
"846","CFHR3"
"847","CFHR1"
"848","CFHR4"
"849","CFHR2"
"850","CFHR5"
"851","F13B"
"852","ZBTB41"
"853","ASPM"
"854","CRB1"
"855","DENND1B"
"856","NEK7"
"857","ATP6V1G3"
"858","PTPRC"
"859","MIR181A1"
"860","MIR181A1HG"
"861","MIR181B1"
"862","LINC01222"
"863","LINC01221"
"864","MIR6739"
"865","IPO9"
"866","TIMM17A"
"867","RNPEP"
"868","MIR6740"
"869","LMOD1"
"870","SHISA4"
"871","ELF3"
"872","PTPN7"
"873","LGR6"
"874","UBE2T"
"875","SYT2"
"876","PPP1R12B"
"877","ARL8A"
"878","GPR37L1"
"879","PTPRVP"
"880","KDM5B"
"881","PCAT6"
"882","KLHL12"
"883","LOC100506747"
"884","PPFIA4"
"885","TMEM183B"
"886","TMEM183A"
"887","MGAT4EP"
"888","ADIPOR1"
"889","CYB5R1"
"890","LOC148709"
"891","MYOG"
"892","RABIF"
"893","OPTC"
"894","MYBPH"
"895","LINC01136"
"896","BTG2"
"897","FMOD"
"898","LINC01353"
"899","CHI3L1"
"900","PRELP"
"901","ADORA1"
"902","CHIT1"
"903","ZC3H11A"
"904","ZBED6"
"905","SNORA77"
"906","LINC00260"
"907","ATP2B4"
"908","LAX1"
"909","SNRPE"
"910","LINC00303"
"911","TMCC2"
"912","GOLT1A"
"913","LINC00628"
"914","CNTN2"
"915","TMEM81"
"916","MDM4"
"917","REN"
"918","SOX13"
"919","PPP1R15B"
"920","RBBP5"
"921","DSTYK"
"922","LOC101929441"
"923","LRRN2"
"924","ETNK2"
"925","PIK3C2B"
"926","NFASC"
"927","PLEKHA6"
"928","KISS1"
"929","DYRK3"
"930","EIF2D"
"931","RASSF5"
"932","MAPKAPK2"
"933","IL10"
"934","IL19"
"935","LINC01740"
"936","FAM71A"
"937","NENF"
"938","ATF3"
"939","KCTD3"
"940","USH2A"
"941","LOC102723833"
"942","ESRRG"
"943","GPATCH2"
"944","SPATA17"
"945","SPATA17-AS1"
"946","LINC00210"
"947","LINC01653"
"948","RRP15"
"949","TGFB2-AS1"
"950","TGFB2-OT1"
"951","TGFB2"
"952","MIR548F3"
"953","LYPLAL1-AS1"
"954","C1orf140"
"955","GTF2IP20"
"956","LOC100287497"
