"","x"
"1","VWF"
"2","ANO2"
"3","TNFRSF1A"
"4","SCNN1A"
"5","CD9"
"6","PLEKHG6"
"7","LTBR"
"8","NCAPD2"
"9","VAMP1"
"10","TAPBPL"
"11","SCARNA10"
"12","MRPL51"
"13","NOP2"
"14","CD27-AS1"
"15","GAPDH"
"16","CD27"
"17","IFFO1"
"18","P3H3"
"19","PTMS"
"20","COPS7A"
"21","ACRBP"
"22","ATN1"
"23","CHD4"
"24","LAG3"
"25","ZNF384"
"26","SPSB2"
"27","GNB3"
"28","USP5"
"29","LRRC23"
"30","TPI1"
"31","DSTNP2"
"32","CDCA3"
"33","GPR162"
"34","LPAR5"
"35","RPL13P5"
"36","PIANP"
"37","ENO2"
"38","CD4"
"39","SCARNA11"
"40","ING4"
"41","MLF2"
"42","LOC105369632"
"43","LPCAT3"
"44","LOC105369635"
"45","PTPN6"
"46","EMG1"
"47","C12orf57"
"48","MIR200C"
"49","MIR141"
"50","SCARNA12"
"51","PHB2"
"52","CLSTN3"
"53","RBP5"
"54","C1S"
"55","C1R"
"56","C1RL"
"57","C1RL-AS1"
"58","CD163L1"
"59","ACSM4"
"60","PEX5"
"61","CD163"
"62","APOBEC1"
"63","SLC2A14"
"64","NANOGNB"
"65","NANOG"
"66","GDF3"
"67","CLEC4C"
"68","DPPA3"
"69","SLC2A3"
"70","C3AR1"
"71","FOXJ2"
"72","FAM66C"
"73","CLEC4A"
"74","ZNF705A"
"75","NECAP1"
"76","POU5F1P3"
"77","FAM86FP"
"78","FAM90A1"
"79","LOC101927905"
"80","LINC00937"
"81","CLEC6A"
"82","CLEC4D"
"83","CLEC4E"
"84","AICDA"
"85","MFAP5"
"86","RIMKLB"
"87","A2ML1"
"88","KLRG1"
"89","M6PR"
"90","PHC1"
"91","A2M-AS1"
"92","LINC00612"
"93","A2M"
"94","PZP"
"95","MIR1244-2"
"96","MIR1244-1"
"97","LINC00987"
"98","MIR1244-4"
"99","A2MP1"
"100","MIR1244-3"
"101","DDX12P"
"102","LOC101930452"
"103","LOC642846"
"104","LOC728715"
"105","LOC101928030"
"106","LOC374443"
"107","KLRB1"
"108","CLEC2D"
"109","CD69"
"110","CLECL1"
"111","KLRF1"
"112","CLEC2A"
"113","KLRF2"
"114","CLEC2B"
"115","LOC100506159"
"116","LOC400002"
"117","CLEC12A"
"118","OLR1"
"119","TMEM52B"
"120","CLEC1A"
"121","CLEC1B"
"122","CLEC7A"
"123","CLEC9A"
"124","LOC102724020"
"125","GABARAPL1"
"126","CLEC12B"
"127","KLRC2"
"128","KLRK1"
"129","KLRC4"
"130","LOC101928100"
"131","KLRC4-KLRK1"
"132","KLRC3"
"133","KLRD1"
"134","KLRC1"
"135","KLRA1P"
"136","MAGOHB"
"137","STYK1"
"138","YBX3"
"139","TAS2R9"
"140","TAS2R7"
"141","LOC101928162"
"142","TAS2R8"
"143","PRH1-PRR4"
"144","TAS2R14"
"145","PRH1-TAS2R14"
"146","PRH2"
"147","PRR4"
"148","PRH1"
"149","TAS2R20"
"150","TAS2R50"
"151","TAS2R13"
"152","TAS2R10"
"153","TAS2R46"
"154","TAS2R19"
"155","TAS2R31"
"156","SMIM10L1"
"157","TAS2R43"
"158","TAS2R30"
"159","TAS2R42"
"160","PRB1"
"161","PRB4"
"162","PRB3"
"163","PRB2"
"164","LINC01252"
"165","ETV6"
"166","BCL2L14"
"167","LRP6"
"168","LOH12CR2"
"169","BORCS5"
"170","MANSC1"
"171","DUSP16"
