"","x"
"1","FAM132A"
"2","PLCH2"
"3","ARID1A"
"4","CSMD2"
"5","ARTN"
"6","ZYG11B"
"7","FPGT-TNNI3K"
"8","TNNI3K"
"9","PDE4DIP"
"10","KLHDC9"
"11","PBX1"
"12","CFHR4"
"13","OBSCN"
"14","HEATR1"
"15","OR2AK2"
"16","OR2M4"
"17","WDR35"
"18","GDF7"
"19","OTOF"
"20","SLC4A1AP"
"21","BIRC6"
"22","THADA"
"23","REG3A"
"24","ZNF717"
"25","FRG2C"
"26","CRYBG3"
"27","DGKQ"
"28","CRMP1"
"29","JAKMIP1"
"30","PI4K2B"
"31","DSPP"
"32","DDX4"
"33","ZSWIM6"
"34","MRPS36"
"35","THBS4"
"36","ADGRV1"
"37","VPS50"
"38","MUC3A"
"39","MUC12"
"40","MICALL2"
"41","SDK1"
"42","CYTH3"
"43","SP8"
"44","ASPH"
"45","FRMD4A"
"46","ANKRD30A"
"47","KRTAP5-5"
"48","TRIM6-TRIM34"
"49","OR10A2"
"50","OVCH2"
"51","MYO7A"
"52","ALG8"
"53","TAS2R43"
"54","CASC1"
"55","FAM186A"
"56","SRGAP1"
"57","CNOT2"
"58","CUX2"
"59","DDX51"
"60","OR4K15"
"61","OR4M1"
"62","SALL2"
"63","ATXN1L"
"64","AP1G1"
"65","ZFPM1"
"66","CTU2"
"67","EVPL"
"68","FADS6"
"69","CCDC40"
"70","TP53"
"71","PER1"
"72","ODF4"
"73","SCO1"
"74","DNAH9"
"75","KCNJ18"
"76","ATAD5"
"77","GAS2L2"
"78","HNF1B"
"79","KRTAP9-8"
"80","CACNA1G"
"81","ZNF83"
"82","LILRA6"
"83","LILRB1"
"84","SSC5D"
"85","ZNF628"
"86","MUC16"
"87","FAM129C"
"88","ANKLE1"
"89","ZNF208"
"90","ZNF676"
"91","GPATCH1"
"92","EGLN2"
"93","SLC1A5"
"94","CCDC8"
"95","EHD2"
"96","ZFP28"
"97","LOC388780"
"98","ASXL1"
"99","TPTE"
"100","MYH9"
"101","EFCAB6"
"102","MLC1"
"103","PRAMEF2"
"104","IGFN1"
"105","MALRD1"
"106","MTCH2"
"107","EIF5B"
