"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032420","GO:0032420","stereocilium","3/96","40/18122",0.00123480397046701,0.123767194068492,0.106455501758687,"ZSWIM6/ADGRV1/MYO7A",3
"GO:0055037","GO:0055037","recycling endosome","5/96","153/18122",0.00132487990409848,0.123767194068492,0.106455501758687,"VPS50/MICALL2/AP1G1/EHD2/MLC1",5
"GO:0032421","GO:0032421","stereocilium bundle","3/96","48/18122",0.00209655038829051,0.123767194068492,0.106455501758687,"ZSWIM6/ADGRV1/MYO7A",3
"GO:0002140","GO:0002140","stereocilia tip link","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"MYO7A",1
"GO:0009353","GO:0009353","mitochondrial oxoglutarate dehydrogenase complex","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"MRPS36",1
"GO:0031477","GO:0031477","myosin VII complex","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"MYO7A",1
"GO:0033650","GO:0033650","host cell mitochondrion","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"SCO1",1
"GO:0044190","GO:0044190","host cell mitochondrial envelope","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"SCO1",1
"GO:0072492","GO:0072492","host cell mitochondrial intermembrane space","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"SCO1",1
"GO:1990427","GO:1990427","stereocilia tip-link density","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"MYO7A",1
"GO:1990435","GO:1990435","upper tip-link density","1/96","1/18122",0.00529742853989656,0.123767194068492,0.106455501758687,"MYO7A",1
"GO:0098862","GO:0098862","cluster of actin-based cell projections","4/96","140/18122",0.00654919327780533,0.140261889366331,0.120643034064835,"ZSWIM6/ADGRV1/MYO7A/MYH9",4
"GO:0035517","GO:0035517","PR-DUB complex","1/96","2/18122",0.0105670851184605,0.20890314426495,0.179683228734956,"ASXL1",1
"GO:0005930","GO:0005930","axoneme","3/96","98/18122",0.0152484966140942,0.21008817401651,0.180702504785857,"WDR35/CCDC40/DNAH9",3
"GO:0097014","GO:0097014","ciliary plasm","3/96","98/18122",0.0152484966140942,0.21008817401651,0.180702504785857,"WDR35/CCDC40/DNAH9",3
