"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045095","GO:0045095","keratin filament","5/143","97/18511",0.0009349773671947,0.222541047042284,0.203660895368626,"KRTAP5-4/KRTAP5-5/KRTAP9-9/KRTAP9-2/KRTAP9-8",5
"GO:0002140","GO:0002140","stereocilia tip link","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"MYO7A",1
"GO:0009353","GO:0009353","mitochondrial oxoglutarate dehydrogenase complex","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"MRPS36",1
"GO:0031477","GO:0031477","myosin VII complex","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"MYO7A",1
"GO:0033650","GO:0033650","host cell mitochondrion","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"SCO1",1
"GO:0044190","GO:0044190","host cell mitochondrial envelope","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"SCO1",1
"GO:0072492","GO:0072492","host cell mitochondrial intermembrane space","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"SCO1",1
"GO:1990427","GO:1990427","stereocilia tip-link density","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"MYO7A",1
"GO:1990435","GO:1990435","upper tip-link density","1/143","1/18511",0.0077251364053802,0.222541047042284,0.203660895368626,"MYO7A",1
"GO:0055037","GO:0055037","recycling endosome","5/143","161/18511",0.00830377041202552,0.222541047042284,0.203660895368626,"VPS50/MICALL2/AP1G1/EHD2/MLC1",5
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","6/143","233/18511",0.00954656750373609,0.232589099181934,0.212856481183781,"KRTAP5-4/KRTAP5-5/EVPL/KRTAP9-9/KRTAP9-2/KRTAP9-8",6
"GO:0035517","GO:0035517","PR-DUB complex","1/143","2/18511",0.0153910092035454,0.343732538879181,0.314570626704042,"ASXL1",1
"GO:0070603","GO:0070603","SWI/SNF superfamily-type complex","3/143","70/18511",0.0169549040437688,0.349531867979234,0.319877946736691,"ARID1A/INO80B/SALL2",3
"GO:0005882","GO:0005882","intermediate filament","5/143","197/18511",0.0185221328660421,0.349601983190641,0.319942113446266,"KRTAP5-4/KRTAP5-5/KRTAP9-9/KRTAP9-2/KRTAP9-8",5
"GO:0002139","GO:0002139","stereocilia coupling link","1/143","3/18511",0.0229980698596526,0.349601983190641,0.319942113446266,"MYO7A",1
"GO:0034455","GO:0034455","t-UTP complex","1/143","3/18511",0.0229980698596526,0.349601983190641,0.319942113446266,"HEATR1",1
"GO:0097513","GO:0097513","myosin II filament","1/143","3/18511",0.0229980698596526,0.349601983190641,0.319942113446266,"MYH9",1
"GO:0005826","GO:0005826","actomyosin contractile ring","1/143","4/18511",0.0305467664238447,0.349601983190641,0.319942113446266,"MYH9",1
"GO:1990745","GO:1990745","EARP complex","1/143","4/18511",0.0305467664238447,0.349601983190641,0.319942113446266,"VPS50",1
"GO:1904949","GO:1904949","ATPase complex","3/143","94/18511",0.0363591863339757,0.349601983190641,0.319942113446266,"ARID1A/INO80B/SALL2",3
"GO:0005947","GO:0005947","mitochondrial alpha-ketoglutarate dehydrogenase complex","1/143","5/18511",0.0380375435568968,0.349601983190641,0.319942113446266,"MRPS36",1
"GO:0033647","GO:0033647","host intracellular organelle","1/143","5/18511",0.0380375435568968,0.349601983190641,0.319942113446266,"SCO1",1
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","1/143","5/18511",0.0380375435568968,0.349601983190641,0.319942113446266,"SCO1",1
"GO:0071547","GO:0071547","piP-body","1/143","5/18511",0.0380375435568968,0.349601983190641,0.319942113446266,"DDX4",1
"GO:1990393","GO:1990393","3M complex","1/143","5/18511",0.0380375435568968,0.349601983190641,0.319942113446266,"CCDC8",1
"GO:0044441","GO:0044441","ciliary part","7/143","414/18511",0.0419492376841691,0.349601983190641,0.319942113446266,"WDR35/MYO7A/KIF5A/TAS2R43/CCDC40/ODF4/DNAH9",7
"GO:0032420","GO:0032420","stereocilium","2/143","44/18511",0.0453907562939993,0.349601983190641,0.319942113446266,"ADGRV1/MYO7A",2
"GO:0001520","GO:0001520","outer dense fiber","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"ODF4",1
"GO:0030015","GO:0030015","CCR4-NOT core complex","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"CNOT2",1
"GO:0030062","GO:0030062","mitochondrial tricarboxylic acid cycle enzyme complex","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"MRPS36",1
"GO:0030430","GO:0030430","host cell cytoplasm","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"SCO1",1
"GO:0032541","GO:0032541","cortical endoplasmic reticulum","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"ASPH",1
"GO:0033655","GO:0033655","host cell cytoplasm part","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"SCO1",1
"GO:0045252","GO:0045252","oxoglutarate dehydrogenase complex","1/143","6/18511",0.0454708425556737,0.349601983190641,0.319942113446266,"MRPS36",1
"GO:0005796","GO:0005796","Golgi lumen","3/143","103/18511",0.0456569754166881,0.349601983190641,0.319942113446266,"MUC3A/MUC12/MUC16",3
"GO:0005930","GO:0005930","axoneme","3/143","109/18511",0.0524462856551202,0.378181541842353,0.346097011976702,"WDR35/CCDC40/DNAH9",3
"GO:0071546","GO:0071546","pi-body","1/143","7/18511",0.0528471013783997,0.378181541842353,0.346097011976702,"DDX4",1
"GO:0097014","GO:0097014","ciliary plasm","3/143","110/18511",0.053622755932871,0.378181541842353,0.346097011976702,"WDR35/CCDC40/DNAH9",3
"GO:0032421","GO:0032421","stereocilium bundle","2/143","51/18511",0.0590930922717649,0.390221501801174,0.3571155142171,"ADGRV1/MYO7A",2
"GO:0030991","GO:0030991","intraciliary transport particle A","1/143","8/18511",0.0601667546697363,0.390221501801174,0.3571155142171,"WDR35",1
"GO:0001725","GO:0001725","stress fiber","2/143","52/18511",0.0611541159539153,0.390221501801174,0.3571155142171,"MICALL2/MYH9",2
"GO:0097517","GO:0097517","contractile actin filament bundle","2/143","52/18511",0.0611541159539153,0.390221501801174,0.3571155142171,"MICALL2/MYH9",2
