"","x"
"1","ZNF717"
"2","CCDC8"
"3","TRIM64C"
"4","HLA-DRB1"
"5","MADCAM1"
"6","PDE4DIP"
"7","MUC6"
"8","OBSCN"
"9","OR8U8"
"10","MUC12"
"11","PABPC3"
"12","CFAP46"
"13","EXD3"
"14","PRAMEF2"
"15","ODF4"
"16","ZNF79"
"17","DNAH9"
"18","AP1G1"
"19","HLA-B"
"20","GPIHBP1"
"21","FRG2C"
"22","MUC3A"
"23","CTBP2"
"24","HLA-C"
"25","PPP1R14C"
"26","FLG"
"27","PRSS1"
"28","MUC16"
"29","CACNA1B"
"30","RAET1E"
"31","ZFPM1"
"32","ANO9"
"33","OVCH2"
"34","MUC5B"
"35","OR9G9"
"36","HLA-DRB5"
"37","HLA-DQA1"
"38","YBEY"
"39","JAKMIP1"
"40","COL18A1"
"41","MAGEC1"
"42","CFHR4"
"43","TEAD3"
"44","CD96"
"45","AR"
"46","GAS2L2"
"47","ASXL1"
"48","SCO1"
"49","OR2M4"
"50","DHX30"
"51","TINAGL1"
"52","DOCK7"
"53","THADA"
"54","TRIM6-TRIM34"
"55","OR2AK2"
"56","CUL7"
"57","AKAP13"
"58","ICOSLG"
"59","PIDD1"
"60","NUP133"
"61","RYR3"
"62","FGFR4"
"63","SPDYE1"
"64","ODF3L2"
"65","SON"
"66","WDR35"
"67","HNF1B"
"68","CRYBG3"
"69","EHD2"
"70","LOC100506388"
"71","ANKRD30A"
"72","ZYG11B"
"73","LILRA6"
"74","FADS6"
"75","REG3A"
"76","FRMD4A"
"77","SEC23IP"
"78","ANKRD36"
"79","OTOF"
"80","ABCA1"
"81","CSMD2"
"82","KRTAP5-5"
"83","OR4K15"
"84","ROM1"
"85","SIGIRR"
"86","ASPH"
"87","ARID1A"
"88","PLCB3"
"89","MALRD1"
"90","KRTAP9-8"
"91","UCMA"
"92","EIF5B"
"93","TAS2R43"
"94","DDX4"
"95","PER1"
"96","TP53"
"97","TMEM2"
"98","SEC24B"
"99","ZNF609"
"100","LPCAT1"
"101","PRR14L"
"102","EPB42"
"103","THBS4"
"104","ZNF83"
"105","BRINP1"
"106","RNF214"
"107","SLC4A1AP"
"108","FAM129C"
"109","THAP1"
"110","ZNF628"
"111","CNTNAP5"
"112","PCDHA4"
"113","TSHZ1"
"114","SDK1"
"115","SALL2"
"116","RP1L1"
"117","CCDC40"
"118","ZSWIM6"
"119","LOC388780"
"120","EXOC6"
"121","LONRF2"
"122","PI4K2B"
"123","FOXQ1"
"124","VPS13B"
"125","DDX51"
"126","MRPS36"
"127","VPS50"
"128","ZNF208"
"129","ESX1"
"130","OTOGL"
"131","EVL"
"132","TNNI3K"
"133","FPGT-TNNI3K"
"134","OR4M1"
"135","LDHA"
"136","CSMD3"
"137","CYTH3"
"138","ALG8"
"139","CUX2"
"140","ARTN"
"141","SRGAP1"
"142","PER2"
"143","MICALL2"
"144","ESRP1"
"145","FCN2"
"146","PBX1"
"147","EGLN2"
"148","PLCH2"
"149","KLHDC9"
"150","SNX25"
"151","MTCH2"
"152","ADGRV1"
"153","DIAPH1"
"154","TBCD"
"155","IL1RAP"
"156","SP8"
"157","ACADSB"
"158","PTPRD"
"159","KCNJ9"
"160","FAM65A"
"161","MTF2"
"162","HEATR1"
"163","CACNA1G"
"164","ANKLE1"
"165","SLC4A3"
"166","FLG2"
"167","MLC1"
"168","ZFP28"
"169","AHNAK2"
"170","MYO7A"
"171","TPTE"
"172","BIRC6"
"173","PTEN"
"174","MUC21"
"175","ZBTB10"
"176","C16orf52"
"177","CTU2"
"178","FAM104B"
"179","PCDHA8"
"180","KCNJ18"
"181","EFCAB6"
"182","MNX1"
"183","CHEK2"
"184","FRRS1L"
"185","PERM1"
"186","DSPP"
"187","LAMA5"
"188","OR12D2"
"189","IGFN1"
"190","CACHD1"
"191","SSC5D"
"192","HRNR"
"193","SERPINA1"
"194","PLEKHG4B"
"195","PARP4"
"196","OR10A2"
"197","FAM186A"
"198","CRMP1"
"199","CNOT2"
"200","EVPL"
"201","TYRO3"
"202","FAM132A"
"203","PAPSS2"
"204","OR2J3"
"205","GPATCH1"
"206","SAR1B"
"207","TSGA10"
"208","ZNF806"
"209","ATAD5"
"210","MYH9"
"211","DGKQ"
"212","LILRB1"
"213","CASC1"
"214","ZNF676"
"215","INO80E"
"216","R3HDM4"
"217","PRSS3"
