"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05330","hsa05330","Allograft rejection","5/77","38/7281",4.43384626950731e-05,0.00473260940014335,0.00418004218040489,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa05332","hsa05332","Graft-versus-host disease","5/77","41/7281",6.45800677935787e-05,0.00473260940014335,0.00418004218040489,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa04940","hsa04940","Type I diabetes mellitus","5/77","43/7281",8.1596713795575e-05,0.00473260940014335,0.00418004218040489,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa04672","hsa04672","Intestinal immune network for IgA production","5/77","49/7281",0.000153847128543189,0.00669235009162873,0.00591096862297516,"HLA-DRB1/MADCAM1/HLA-DRB5/HLA-DQA1/ICOSLG",5
"hsa05320","hsa05320","Autoimmune thyroid disease","5/77","53/7281",0.000224027458475247,0.00779615555493858,0.00688589661839705,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa05416","hsa05416","Viral myocarditis","5/77","59/7281",0.000372014601203217,0.0107884234348933,0.00952879504836311,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa04713","hsa04713","Circadian entrainment","6/77","96/7281",0.000500885271800371,0.0124505767561807,0.010996879651557,"RYR3/PLCB3/PER1/PER2/KCNJ9/CACNA1G",6
"hsa05168","hsa05168","Herpes simplex infection","8/77","185/7281",0.000702526887098878,0.0152799597944006,0.0134959112521627,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1/PER1/TP53/PER2",8
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","7/77","145/7281",0.000806861463151212,0.0155993216209234,0.0137779852187224,"HLA-DRB1/MADCAM1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1/ICOSLG",7
"hsa04612","hsa04612","Antigen processing and presentation","5/77","77/7281",0.00126647955266027,0.0220367442162886,0.0194637910198315,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
