"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05330","hsa05330","Allograft rejection","5/80","38/7281",5.33385353891935e-05,0.00591219115538894,0.00515747992618983,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa05332","hsa05332","Graft-versus-host disease","5/80","41/7281",7.76092655857873e-05,0.00591219115538894,0.00515747992618983,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa04940","hsa04940","Type I diabetes mellitus","5/80","43/7281",9.79921185976067e-05,0.00591219115538894,0.00515747992618983,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa04672","hsa04672","Intestinal immune network for IgA production","5/80","49/7281",0.000184382474079175,0.00834330695208269,0.00727825555575692,"HLA-DRB1/MADCAM1/HLA-DRB5/HLA-DQA1/ICOSLG",5
"hsa05320","hsa05320","Autoimmune thyroid disease","5/80","53/7281",0.000268127067289021,0.00970619983586255,0.00846717054596908,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa05416","hsa05416","Viral myocarditis","5/80","59/7281",0.000444339739767644,0.0134042488163239,0.0116931510465169,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
"hsa04713","hsa04713","Circadian entrainment","6/80","96/7281",0.000615032985620459,0.0159029957710433,0.0138729244876795,"RYR3/PLCB3/PER1/PER2/KCNJ9/CACNA1G",6
"hsa05168","hsa05168","Herpes simplex infection","8/80","185/7281",0.000907166883951894,0.0203988716702788,0.0177948865980914,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1/PER1/TP53/PER2",8
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","7/80","145/7281",0.00101430853609121,0.0203988716702788,0.0177948865980914,"HLA-DRB1/MADCAM1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1/ICOSLG",7
"hsa04612","hsa04612","Antigen processing and presentation","5/80","77/7281",0.0015035425253648,0.0272141197091029,0.0237401451373389,"HLA-DRB1/HLA-B/HLA-C/HLA-DRB5/HLA-DQA1",5
