"","CNA_cohort","CNA_covered_in_sc23"
"1","chr1_69090_9932122","chr1_1156555_1238447,chr1_1238447_1390653,chr1_1390653_1791470,chr1_1791470_2090185,chr1_2090185_2209505,chr1_2209505_2303695,chr1_2303695_2331938,chr1_2331938_2391733,chr1_2391733_2490582,chr1_2490582_2498220,chr1_2498220_2568929,chr1_2568929_2729360,chr1_2729360_4746680,chr1_4746680_4806608,chr1_4806608_4850208,chr1_4850208_5065577,chr1_5065577_5430529,chr1_5430529_6501299,chr1_6501299_6632992,chr1_6632992_6957890,chr1_6957890_7785633,chr1_7785633_8081867,chr1_8081867_8247130,chr1_8247130_8466113,chr1_8466113_8505627,chr1_8505627_8841987,chr1_8841987_8899783,chr1_8899783_9531356,chr1_9531356_9657619,chr1_9657619_9764691"
"2","chr1_10532379_11024328","chr1_10557621_10650345,chr1_10650345_10672397,chr1_10672397_10738849,chr1_10738849_10780078,chr1_10780078_10961324"
"3","chr1_11333588_12267077","chr1_11346457_12042582,chr1_12042582_12214850"
"4","chr1_14925212_15287371","chr1_14955576_15029413"
"5","chr1_16011053_19412764","chr1_16437734_16583254,chr1_16583254_17229920,chr1_17229920_17729686,chr1_17729686_18034711,chr1_18034711_18206555,chr1_18206555_18683464,chr1_18683464_18810804,chr1_18810804_18852610,chr1_18852610_19284852"
"6","chr1_22850710_23346440","chr1_23255614_23313204"
"7","chr1_26487782_28052672","chr1_26729264_27111063"
"8","chr1_33800766_35251176","chr1_33855208_33877224,chr1_33877224_33897634,chr1_33897634_33932076,chr1_33932076_33956732,chr1_33956732_33977563,chr1_33977563_34007855,chr1_34007855_34113459,chr1_34113459_34214267,chr1_34214267_34272714,chr1_34272714_34335099,chr1_34335099_34432369,chr1_34432369_34497150,chr1_34497150_34532800,chr1_34532800_34598794,chr1_34598794_34795207,chr1_34795207_34834129,chr1_34834129_34935210,chr1_34935210_35154968"
"9","chr1_35656941_35774632","chr1_35742769_35754277"
"10","chr1_36023791_36201559","chr1_36038317_36169870"
"11","chr1_37499594_37947436","chr1_37603592_37869701,chr1_37869701_37897798"
"12","chr1_39305224_40562910","chr1_39307145_39374481,chr1_39374481_39458808,chr1_39458808_39524712,chr1_39524712_39705287,chr1_39705287_39940194,chr1_39940194_40190410,chr1_40190410_40294408,chr1_40294408_40463430,chr1_40463430_40508822"
"13","chr1_41092184_45446840","chr1_41111604_41198280,chr1_41198280_41261740,chr1_41261740_41658508,chr1_41658508_41777395,chr1_41777395_41842517,chr1_41842517_42213742,chr1_42213742_42282975,chr1_42282975_42492302,chr1_42492302_42643928,chr1_42643928_42723995,chr1_42723995_42832456,chr1_42832456_42882036,chr1_42882036_43346679,chr1_43346679_43355959,chr1_43355959_43628809,chr1_43628809_43684990,chr1_43684990_43931572,chr1_43931572_44177190,chr1_44177190_44489653,chr1_44489653_44532620,chr1_44532620_44738536,chr1_44738536_44766005,chr1_44766005_44905228,chr1_44905228_45056586,chr1_45056586_45151262,chr1_45151262_45321089,chr1_45321089_45420755"
"14","chr1_45473084_47583606","chr1_45778253_45977529,chr1_45977529_46054171,chr1_46054171_46357484,chr1_46357484_46588362,chr1_46588362_46638794,chr1_46638794_46766673,chr1_46766673_47023647,chr1_47023647_47075243,chr1_47075243_47204308,chr1_47204308_47491997"
"15","chr1_47881987_48261352","chr1_47957430_48006092"
"16","chr1_51702428_51810715","chr1_51712463_51721901,chr1_51721901_51757616"
"17","chr1_53153391_53308645","chr1_53210438_53253639"
"18","chr1_53527891_53662767","chr1_53549752_53644308"
"19","chr1_53736898_54203737","chr1_53782747_54189569"
"20","chr1_54506428_55253770","chr1_54528085_54566687,chr1_54566687_54752379,chr1_54752379_55002561"
