CNA	Gene	KEGG	Cosmic
chr1_69090_9932122	LOC100996583,ACTRT2,MMP23B,PRDM16,LOC100288069,INTS11,LOC100130417,DVL1,ENO1,NADK,TNFRSF18,GPR157,LOC100132062,FAM132A,DFFB,HES2,LINC01342,H6PD,TAS1R3,CAMTA1,LINC01134,LINC00982,LOC105378591,TNFRSF4,CCNL2,FNDC10,HES4,RNF207,LINC01128,NOL9,CLSTN1,SKI,TTC34,LOC100129534,GABRD,ERRFI1,CPTP,TPRG1L,WRAP73,FAM213B,PANK4,MIR6727,SLC2A5,MIR551A,PEX10,LOC729737,DNAJC11,PIK3CD,PER3,OR4F3,PHF13,NPHP4,LOC115110,MIR429,LOC100132287,TTLL10,PRKCZ,LINC00115,SLC45A1,LINC01777,KLHL21,MIR6808,PARK7,ENO1-AS1,PLEKHG5,RER1,PIK3CD-AS1,MORN1,MIR200B,LOC101928626,SLC2A7,CA6,CHD5,SPSB1,LINC01714,ESPN,LINC00337,LOC102724552,ACOT7,HES5,ATAD3B,MMEL1,CCDC27,OR4F29,MIR4252,MIR4417,GPR153,MIR34A,MIR34AHG,OR4F5,LINC01759,PIK3CD-AS2,TAS1R1,SLC35E2B,AURKAIP1,ACAP3,PLCH2,RPL22,CTNNBIP1,MRPL20,THAP3,TMEM88B,LINC01346,OR4F16,LOC148413,LOC100506022,AGRN,TP73-AS1,CALML6,CDK11A,SLC25A33,VAMP3,MXRA8,SMIM1,ATAD3A,MIR6723,TMEM240,TP73,KLHL17,CEP104,TMEM52,MIR6728,PERM1,HES3,TNFRSF14,LOC102724450,LINC01770,B3GALT6,TNFRSF25,FAM87B,SDF4,RNF223,MEGF6,MIR6726,C1orf159,UTS2,PUSL1,ICMT,FAM41C,VWA1,MMP23A,SNORD128,MIR4251,CFAP74,C1orf174,TNFRSF9,MIB2,UBE2J2,KCNAB2,TMEM201,SSU72,ISG15,MIR200A,GNB1,LOC100133331,RERE,ZBTB48,LRRC47,SLC35E2,AJAP1,LINC01672,NOC2L,FAAP20,PLEKHN1,CDK11B,MIR4689,SCNN1D,ANKRD65,ARHGEF16,ATAD3C,SAMD11	NA	CAMTA1_TSG
chr1_10532379_11024328	DFFA,CASZ1,PEX14,C1orf127	Peroxisome_PEX14,Apoptosis_DFFA	NA
chr1_11333588_12267077	LOC102724659,DRAXIN,NPPA,MIIP,FBXO6,MIR4632,C1orf167,MIR7846,MFN2,KIAA2013,TNFRSF1B,TNFRSF8,LINC01647,UBIAD1,FBXO2,CLCN6,MTHFR,MAD2L2,MIR6729,NPPA-AS1,FBXO44,AGTRAP,DISP3,NPPB,PLOD1	NA	NA
chr1_14925212_15287371	KAZN	NA	NA
chr1_16011053_19412764	ARHGEF10L,PAX7,MIR4695,ALDH4A1,NBPF1,PLEKHM2,MIR5096,SPATA21,LINC01783,ACTL8,HSPB7,LOC105376805,PADI1,PADI3,FBXO42,ARHGEF19,TMEM82,CLCNKA,TAS1R2,SDHB,PADI6,KLHDC7A,FAM231B,CROCCP3,IFFO2,FLJ37453,CROCC,RSG1,MST1L,NECAP2,MST1P2,FAM231A,LINC01654,UBR4,EPHA2,CLCNKB,MFAP2,FAM131C,UQCRHL,FAM231C,MIR3972,ATP13A2,RCC2,SLC25A34,PADI4,C1orf64,ESPNP,MIR1290,PADI2,SPEN,LOC102724562,MIR3675,SZRD1,ZBTB17,FBLIM1,CROCCP2,IGSF21,LOC440570	NA	NA
chr1_22850710_23346440	C1QA,KDM1A,MIR4253,C1QC,LACTBL1,EPHA8,C1orf234,EPHB2,C1QB,MIR6127,ZBTB40,MIR4684	Prion diseases_C1QA/C1QC/C1QB,Staphylococcus aureus infection_C1QA/C1QC/C1QB,Pertussis_C1QA/C1QC/C1QB,Complement and coagulation cascades_C1QA/C1QC/C1QB,Chagas disease (American trypanosomiasis)_C1QA/C1QC/C1QB,Systemic lupus erythematosus_C1QA/C1QC/C1QB,Axon guidance_EPHA8/EPHB2	NA
chr1_26487782_28052672	CNKSR1,GPN2,CATSPER4,SFN,AHDC1,ZDHHC18,GPATCH3,WDTC1,MIR1976,MAP3K6,SH3BGRL3,DHDDS,UBXN11,NUDC,LIN28A,CD52,PIGV,FGR,RPS6KA1,LOC101928728,GPR3,TRNP1,SLC9A1,LOC101928324,ZNF683,AIM1L,HMGN2,FAM110D,FCN3,IFI6,FAM46B,LOC101928303,ZNF593,ARID1A,FAM76A,CEP85,CD164L2,KDF1,WASF2,NR0B2,SYTL1,ACTG1P20,TMEM222	NA	ARID1A_TSG
chr1_33800766_35251176	CSMD2-AS1,C1orf94,GJB5,ZSCAN20,LOC101929464,GJB4,PHC2,HMGB4,GJB3,MIR552,CSMD2	NA	NA
chr1_35656941_35774632	ZMYM4,SFPQ	NA	NA
chr1_36023791_36201559	C1orf216,CLSPN,NCDN,PSMB2,TFAP2E	Proteasome_PSMB2	NA
chr1_37499594_37947436	LINC01137,ZC3H12A,MIR6732,GRIK3,MIR4255	Glutamatergic synapse_GRIK3,Neuroactive ligand-receptor interaction_GRIK3	NA
chr1_39305224_40562910	RRAGC,PPIEL,MACF1,TRIT1,AKIRIN1,PABPC4,MFSD2A,SNORA55,BMP8A,GJA9,KIAA0754,LOC101929536,PPT1,LOC101929516,MYCBP,LOC105378663,HEYL,NT5C1A,NDUFS5,MYCL,GJA9-MYCBP,OXCT2,CAP1,OXCT2P1,BMP8B,PPIE,RHBDL2,HPCAL4	NA	MYCL_oncogene
chr1_41092184_45446840	C1orf210,C1orf228,KDM4A,DMAP1,YBX1,KDM4A-AS1,LOC101929592,EIF2B3,ERI3-IT1,NFYC,ZMYND12,SCMH1,MPL,FAM183A,MIR6735,SNORD38B,CDC20,MIR6733,DPH2,SVBP,TMEM269,ERMAP,SZT2,KLF17,CTPS1,RNF220,ELOVL1,GUCA2B,PPIH,BEST4,BTBD19,FOXJ3,MED8,TCTEX1D4,SNORA110,SLFNL1-AS1,RIMS3,LOC105378683,ST3GAL3,PPCS,TMEM53,KCNQ4,CCDC30,HYI,SNORD46,MIR30C1,B4GALT2,TMEM125,EBNA1BP2,SLC6A9,IPO13,C1orf50,PLK3,MIR6734,ZNF691,CITED4,SNORD55,KIF2C,MIR5584,MIR6079,EDN2,FOXO6,LOC101929901,GUCA2A,ERI3,PTPRF,SLC2A1,SLFNL1,P3H1,LOC339539,ATP6V0B,HIVEP3,RPS8,MIR30E,PTCH2,CLDN19,RIMKLA,ARTN,CFAP57,CCDC24,TIE1,NFYC-AS1,SNORD38A,SLC2A1-AS1	Glycosaminoglycan biosynthesis - keratan sulfate_ST3GAL3/B4GALT2,Other types of O-glycan biosynthesis_ST3GAL3/B4GALT2,Mannose type O-glycan biosynthesis_ST3GAL3/B4GALT2,Glycosphingolipid biosynthesis - lacto and neolacto series_ST3GAL3/B4GALT2	MPL_oncogene
