,Primary,PostTherapy
chr7_86393959_86455732,22,3
chr7_86455732_86488769,22,3
chr7_86488769_86640635,22,4
chr7_86640635_86720751,22,4
chr7_86720751_86811082,22,4
chr7_86811082_86970937,22,4
chr7_86970937_86986593,22,5
chr7_86986593_87076353,25,6
chr7_87076353_87196559,25,6
chr7_87196559_87223687,22,6
chr7_87223687_87247296,22,6
chr7_87247296_87298106,22,6
chr7_87298106_87388676,22,4
chr7_87388676_87597582,22,5
chr7_87597582_87644598,22,5
chr7_87644598_87701967,22,5
chr7_87701967_87838467,24,5
chr7_87838467_87849996,24,5
chr7_87849996_87917484,24,4
chr7_89826988_89861395,13,2
chr7_89861395_90015433,13,2
chr7_90015433_90052564,12,2
chr7_91494246_91511993,17,4
chr7_91511993_91547166,17,4
chr7_91547166_91572947,21,4
chr7_91572947_91628428,22,7
chr7_91628428_91697667,22,7
chr7_91697667_91791440,22,7
chr7_91791440_91879738,22,7
chr7_91879738_91887294,22,7
chr7_91887294_91989704,22,7
chr7_91989704_92021924,22,7
chr7_92021924_92187054,22,7
chr7_92187054_92232908,22,7
chr7_92232908_92279681,22,6
chr7_92279681_92313054,21,6
chr7_92313054_92391124,19,4
chr7_92391124_92415638,17,4
chr7_92415638_92438164,7,2
chr7_92438164_92655052,7,2
chr7_92655052_92717679,9,2
chr7_92717679_92755234,13,3
chr7_92755234_92904831,13,3
chr7_92904831_92970734,13,3
chr7_92970734_93027121,13,3
chr7_93027121_93126133,11,3
chr7_93126133_93167522,10,2
chr7_93167522_93208298,9,2
chr7_93208298_93284824,9,2
chr7_93284824_93324532,9,2
chr7_93324532_93469848,9,2
chr7_93469848_93688601,9,2
chr7_93688601_93727580,8,2
chr7_93727580_93784802,8,2
chr7_93784802_93835285,7,2
chr7_93835285_93840591,7,2
chr7_93840591_93952266,7,2
chr7_93952266_93980113,7,2
chr7_93980113_94009892,7,2
chr7_94009892_94032119,8,2
chr7_94032119_94048355,8,2
chr7_94048355_94233780,8,2
chr7_94233780_94271543,8,2
chr7_94271543_94320331,8,2
chr7_94320331_94345050,8,2
chr7_94345050_94440487,8,2
chr7_94440487_94527037,8,2
chr7_94527037_94692407,8,2
chr7_94692407_94747260,10,2
chr7_94747260_94871144,10,2
chr7_94871144_94958887,10,2
chr7_94958887_94979996,10,2
chr7_94979996_95111312,10,2
chr7_95111312_95247504,10,2
chr7_95247504_95297911,5,2
chr7_95297911_95359682,5,2
chr7_95359682_95407812,5,2
chr7_95407812_95502750,7,2
chr7_95502750_95543534,7,2
chr7_95543534_95612704,8,2
chr7_95612704_95771473,8,2
chr7_95771473_95788915,8,2
chr7_95788915_95836052,8,2
chr7_95836052_95879128,8,2
chr7_95879128_95908440,8,2
chr7_95908440_95944296,7,2
chr7_95944296_95975653,5,2
chr7_99100661_99123191,14,7
chr7_99123191_99159052,14,7
chr7_99159052_99264631,14,7
chr7_99264631_99404365,14,7
chr7_99404365_99477990,14,7
chr7_99477990_99541472,14,7
chr7_99541472_99573623,12,7
